grilla,L,alfa,MV,alfa.GA,alfa.LN,alfa.LC
3.1801,8,-1.5,-1.965440576,-1.891842526,-1.724080171,-2.140355745
3.1901,8,-1.5,-1.964363294,-1.891176143,-1.722625834,-2.138743484
3.2001,8,-1.5,-1.96329178,-1.890512118,-1.72117708,-2.137134924
3.2101,8,-1.5,-1.962222813,-1.889850436,-1.731424617,-2.135530061
3.2201,8,-1.5,-1.961156383,-1.889191082,-1.729985987,-2.133928891
3.2301,8,-1.5,-1.96009248,-1.888534041,-1.728552794,-2.132331408
3.2401,8,-1.5,-1.959031094,-1.887879298,-1.727125007,-2.130737606
3.2501,8,-1.5,-1.957972214,-1.887226839,-1.7257026,-2.129147481
3.2601,8,-1.5,-1.956915832,-1.88657665,-1.724285542,-2.127561027
3.2701,8,-1.5,-1.955861938,-1.885928716,-1.722873805,-2.125978238
3.2801,8,-1.5,-1.95481052,-1.885283022,-1.721467361,-2.12439911
3.2901,8,-1.5,-1.953761571,-1.884639556,-1.720066181,-2.122823635
3.3001,8,-1.5,-1.952715079,-1.883998303,-1.718670238,-2.121251809
3.3101,8,-1.5,-1.951671036,-1.883359249,-1.717279504,-2.119683626
3.3201,8,-1.5,-1.950629432,-1.882722381,-1.715893951,-2.118119079
3.3301,8,-1.5,-1.949590257,-1.882086805,-1.714513552,-2.116558163
3.3401,8,-1.5,-1.948553501,-1.881454297,-1.71313828,-2.115000871
3.3501,8,-1.5,-1.947519155,-1.880823936,-1.711768109,-2.113447198
3.3601,8,-1.5,-1.94648721,-1.880195709,-1.71040301,-2.111897136
3.3701,8,-1.5,-1.945457656,-1.879569602,-1.720924573,-2.11035068
3.3801,8,-1.5,-1.944430484,-1.878945601,-1.719567852,-2.108807823
3.3901,8,-1.5,-1.943405684,-1.866117711,-1.718216075,-2.107268559
3.4001,8,-1.5,-1.942383247,-1.865458383,-1.716869218,-2.105732881
3.4101,8,-1.5,-1.941363163,-1.864801174,-1.715527254,-2.104200782
3.4201,8,-1.5,-1.940345424,-1.864146072,-1.714190158,-2.102672256
3.4301,8,-1.5,-1.939330021,-1.863493062,-1.712857905,-2.101147296
3.4401,8,-1.5,-1.938316943,-1.862842133,-1.71153047,-2.099625894
3.4501,8,-1.5,-1.937306183,-1.862193272,-1.710207828,-2.098108044
3.4601,8,-1.5,-1.93629773,-1.861546465,-1.708889955,-2.09658021
3.4701,8,-1.5,-1.935291576,-1.8609017,-1.707576825,-2.095107414
3.4801,8,-1.5,-1.934287713,-1.860258064,-1.706268415,-2.093590541
3.4901,8,-1.5,-1.93328613,-1.859617374,-1.704964701,-2.092079588
3.5001,8,-1.5,-1.932286819,-1.858978691,-1.703665658,-2.090574556
3.5101,8,-1.5,-1.931289771,-1.858342003,-1.702371263,-2.089075444
3.5201,8,-1.5,-1.930294977,-1.857707296,-1.701081491,-2.087582222
3.5301,8,-1.5,-1.929302429,-1.857071968,-1.69979632,-2.08609471
3.5401,8,-1.5,-1.928312118,-1.856443778,-1.71058797,-2.084612876
3.5501,8,-1.5,-1.927324035,-1.855814942,-1.709309525,-2.083136717
3.5601,8,-1.5,-1.926338171,-1.855188042,-1.708035565,-2.081666231
3.5701,8,-1.5,-1.925354518,-1.854563064,-1.706766071,-2.080151414
3.5801,8,-1.5,-1.924373067,-1.853939901,-1.705501021,-2.078692264
3.5901,8,-1.5,-1.92339381,-1.853318723,-1.704240392,-2.077227424
3.6001,8,-1.5,-1.922416738,-1.852699459,-1.702984163,-2.075762148
3.6101,8,-1.5,-1.921441843,-1.85208207,-1.70173231,-2.074300352
3.6201,8,-1.5,-1.920469117,-1.851466549,-1.700484813,-2.072842034
3.6301,8,-1.5,-1.91949855,-1.850852879,-1.699241649,-2.071387191
3.6401,8,-1.5,-1.918530135,-1.850241055,-1.698002797,-2.069935822
3.6501,8,-1.5,-1.917563863,-1.849631064,-1.696768238,-2.068487925
3.6601,8,-1.5,-1.916599727,-1.849022898,-1.695537945,-2.067043498
3.6701,8,-1.5,-1.915637717,-1.848416544,-1.694311901,-2.065602539
3.6801,8,-1.5,-1.914677826,-1.847811994,-1.693090085,-2.064165047
3.6901,8,-1.5,-1.913723351,-1.847209236,-1.691872475,-2.062731019
3.7001,8,-1.5,-1.912767099,-1.846608262,-1.69065905,-2.061300454
3.7101,8,-1.5,-1.911813018,-1.846009061,-1.68944979,-2.05987335
3.7201,8,-1.5,-1.910861092,-1.845411623,-1.700506393,-2.058449706
3.7301,8,-1.5,-1.909911308,-1.844815939,-1.699302345,-2.05702952
3.7401,8,-1.5,-1.908963652,-1.844221999,-1.698102366,-2.055612791
3.7501,8,-1.5,-1.90801811,-1.843629793,-1.696906431,-2.054199516
3.7601,8,-1.5,-1.90707467,-1.843039313,-1.695714527,-2.052789695
3.7701,8,-1.5,-1.906133318,-1.842450548,-1.69452663,-2.051383326
3.7801,8,-1.5,-1.905194041,-1.841863489,-1.693342722,-2.049980407
3.7901,8,-1.5,-1.904256826,-1.841278127,-1.692162784,-2.048580938
3.8001,8,-1.5,-1.903321662,-1.840694454,-1.690986797,-2.047184917
3.8101,8,-1.5,-1.902388537,-1.840112459,-1.689814741,-2.045792343
3.8201,8,-1.5,-1.901457438,-1.839532134,-1.688646597,-2.044353214
3.8301,8,-1.5,-1.900528356,-1.838953469,-1.687482346,-2.042967529
3.8401,8,-1.5,-1.899601278,-1.838376458,-1.686321971,-2.041585287
3.8501,8,-1.5,-1.898676195,-1.837801089,-1.685165452,-2.040206487
3.8601,8,-1.5,-1.897753096,-1.837227355,-1.68401277,-2.038831128
3.8701,8,-1.5,-1.896831972,-1.82336202,-1.682863909,-2.037459209
3.8801,8,-1.5,-1.895912754,-1.822750486,-1.681718848,-2.036090728
3.8901,8,-1.5,-1.894995557,-1.822140592,-1.68057757,-2.034724626
3.9001,8,-1.5,-1.894080367,-1.821532329,-1.679440058,-2.033358694
3.9101,8,-1.5,-1.893167052,-1.82092569,-1.678306293,-2.031995954
3.9201,8,-1.5,-1.892255657,-1.820320666,-1.677176257,-2.030636398
3.9301,8,-1.5,-1.891346168,-1.819717248,-1.676049934,-2.029280017
3.9401,8,-1.5,-1.89043857,-1.819115431,-1.687368008,-2.027926803
3.9501,8,-1.5,-1.889532853,-1.818515205,-1.686245242,-2.026576749
3.9601,8,-1.5,-1.888629002,-1.817916564,-1.685126078,-2.025229845
3.9701,8,-1.5,-1.887727007,-1.817319499,-1.684010584,-2.023886084
3.9801,8,-1.5,-1.886826857,-1.816724003,-1.682898664,-2.022545457
3.9901,8,-1.5,-1.885928544,-1.816130068,-1.681790321,-2.021207956
4.0001,8,-1.5,-1.885032059,-1.815537686,-1.680685557,-2.019873574
4.0101,8,-1.5,-1.884137396,-1.814946852,-1.679584338,-2.018542301
4.0201,8,-1.5,-1.883246982,-1.814357556,-1.678486653,-2.01721413
4.0301,8,-1.5,-1.882356456,-1.813769793,-1.677392482,-2.015889052
4.0401,8,-1.5,-1.881467785,-1.813183554,-1.676301808,-2.01456706
4.0501,8,-1.5,-1.880580962,-1.812598832,-1.675214614,-2.013248144
4.0601,8,-1.5,-1.879695979,-1.812015621,-1.674130885,-2.011932298
4.0701,8,-1.5,-1.878812831,-1.811433913,-1.673050603,-2.010619512
4.0801,8,-1.5,-1.877931511,-1.810853701,-1.671973754,-2.009309779
4.0901,8,-1.5,-1.877052012,-1.810274979,-1.670900323,-2.008003089
4.1001,8,-1.5,-1.876174329,-1.809697739,-1.669830291,-2.006699436
4.1101,8,-1.5,-1.875298453,-1.809121974,-1.668763645,-2.005398811
4.1201,8,-1.5,-1.87442438,-1.808547679,-1.667700369,-2.004101206
4.1301,8,-1.5,-1.873552101,-1.807974845,-1.666640447,-2.002806612
4.1401,8,-1.5,-1.872681612,-1.807403467,-1.665583864,-2.001515022
4.1501,8,-1.5,-1.871812906,-1.806833538,-1.664530605,-2.000226426
4.1601,8,-1.5,-1.870945977,-1.80626505,-1.663480655,-1.998940818
4.1701,8,-1.5,-1.870078467,-1.805697999,-1.675053998,-1.997658189
4.1801,8,-1.5,-1.869218225,-1.805132376,-1.674006134,-1.996378531
4.1901,8,-1.5,-1.868355796,-1.804568176,-1.672961509,-1.995101835
4.2001,8,-1.5,-1.867495925,-1.804005392,-1.671920108,-1.993828094
4.2101,8,-1.5,-1.866637813,-1.803444018,-1.670880628,-1.9925573
4.2201,8,-1.5,-1.865781467,-1.802884047,-1.669845661,-1.991312689
4.2301,8,-1.5,-1.864926902,-1.802325473,-1.668813878,-1.990046164
4.2401,8,-1.5,-1.864074151,-1.801768291,-1.667785264,-1.988782489
4.2501,8,-1.5,-1.863223274,-1.801212493,-1.666759804,-1.987521655
4.2601,8,-1.5,-1.862374385,-1.800658074,-1.665737485,-1.986263651
4.2701,8,-1.5,-1.861527681,-1.800105027,-1.664718292,-1.985008466
4.2801,8,-1.5,-1.860683488,-1.799553347,-1.663702211,-1.98375609
4.2901,8,-1.5,-1.859834869,-1.799003027,-1.662689229,-1.982506513
4.3001,8,-1.5,-1.858990124,-1.798454061,-1.661679332,-1.981259725
4.3101,8,-1.5,-1.858148114,-1.797906444,-1.660672505,-1.980015714
4.3201,8,-1.5,-1.857307567,-1.797360169,-1.659668602,-1.978774471
4.3301,8,-1.5,-1.856468483,-1.796815231,-1.658667861,-1.977535986
4.3401,8,-1.5,-1.855638275,-1.796271624,-1.657670186,-1.97630206
4.3501,8,-1.5,-1.854803976,-1.795729342,-1.656675524,-1.975071718
4.3601,8,-1.5,-1.853971337,-1.795188379,-1.655683861,-1.973844205
4.3701,8,-1.5,-1.853140353,-1.794648729,-1.654695185,-1.972619512
4.3801,8,-1.5,-1.852311018,-1.794110388,-1.653709483,-1.971397634
4.3901,8,-1.5,-1.851483326,-1.793573348,-1.65272674,-1.97017856
4.4001,8,-1.5,-1.850657272,-1.793037605,-1.651746945,-1.968962285
4.4101,8,-1.5,-1.849832852,-1.792503153,-1.650770082,-1.967748799
4.4201,8,-1.5,-1.849010058,-1.791969987,-1.649796141,-1.966538096
4.4301,8,-1.5,-1.848188887,-1.7914381,-1.648825108,-1.965330167
4.4401,8,-1.5,-1.847369333,-1.790907488,-1.660639071,-1.964125006
4.4501,8,-1.5,-1.84655139,-1.790378144,-1.65966869,-1.962922603
4.4601,8,-1.5,-1.845735052,-1.789850065,-1.658701153,-1.961722952
4.4701,8,-1.5,-1.844920316,-1.789320414,-1.657736445,-1.960526045
4.4801,8,-1.5,-1.844107175,-1.788797674,-1.656774554,-1.959331874
4.4901,8,-1.5,-1.843295623,-1.788273353,-1.655815467,-1.958140432
4.5001,8,-1.5,-1.842485656,-1.787750274,-1.654857895,-1.956951711
4.5101,8,-1.5,-1.841677267,-1.787228431,-1.653905658,-1.955765704
4.5201,8,-1.5,-1.840870452,-1.786707821,-1.652954909,-1.954582403
4.5301,8,-1.5,-1.840065204,-1.786188437,-1.652006916,-1.9534018
4.5401,8,-1.5,-1.839261518,-1.770686176,-1.651061664,-1.952223889
4.5501,8,-1.5,-1.838459387,-1.770127036,-1.650119142,-1.951048661
4.5601,8,-1.5,-1.837658804,-1.769569169,-1.649179338,-1.949876109
4.5701,8,-1.5,-1.836859762,-1.769012572,-1.64824224,-1.948706226
4.5801,8,-1.5,-1.836062036,-1.768457238,-1.647307834,-1.947539004
4.5901,8,-1.5,-1.83526608,-1.767903163,-1.64637611,-1.946374437
4.6001,8,-1.5,-1.834471657,-1.767350346,-1.645447056,-1.945212516
4.6101,8,-1.5,-1.833678763,-1.766798778,-1.644520657,-1.944053234
4.6201,8,-1.5,-1.832887392,-1.766248456,-1.643597112,-1.942896584
4.6301,8,-1.5,-1.83209754,-1.765699375,-1.642676077,-1.941742559
4.6401,8,-1.5,-1.831309202,-1.765151531,-1.64175769,-1.940591151
4.6501,8,-1.5,-1.830522372,-1.764604918,-1.640841943,-1.939442354
4.6601,8,-1.5,-1.829737048,-1.764059534,-1.639930204,-1.938296159
4.6701,8,-1.5,-1.828953222,-1.763515373,-1.6390198,-1.937152561
4.6801,8,-1.5,-1.828170891,-1.76297243,-1.638111995,-1.936011551
4.6901,8,-1.5,-1.82739005,-1.762430701,-1.637206778,-1.934873122
4.7001,8,-1.5,-1.826610695,-1.761890183,-1.636304138,-1.933737268
4.7101,8,-1.5,-1.82583282,-1.76135087,-1.635404064,-1.932603981
4.7201,8,-1.5,-1.825056421,-1.760812757,-1.634506546,-1.931473255
4.7301,8,-1.5,-1.824281493,-1.760275842,-1.633611573,-1.930345081
4.7401,8,-1.5,-1.823508032,-1.759740118,-1.645652028,-1.929219454
4.7501,8,-1.5,-1.822736033,-1.759205583,-1.644756321,-1.928096366
4.7601,8,-1.5,-1.821965491,-1.758672231,-1.643863113,-1.92697581
4.7701,8,-1.5,-1.821196403,-1.758140058,-1.642972392,-1.92585778
4.7801,8,-1.5,-1.820428763,-1.75760906,-1.64208415,-1.924742268
4.7901,8,-1.5,-1.819662566,-1.757079233,-1.641198374,-1.923629268
4.8001,8,-1.5,-1.818897809,-1.756550573,-1.640315056,-1.922518772
4.8101,8,-1.5,-1.818134487,-1.756023075,-1.639434186,-1.921410774
4.8201,8,-1.5,-1.817372596,-1.755496734,-1.638555753,-1.920305268
4.8301,8,-1.5,-1.81661213,-1.754971548,-1.637678472,-1.919202245
4.8401,8,-1.5,-1.815853087,-1.754447511,-1.636805053,-1.918101701
4.8501,8,-1.5,-1.81509546,-1.753924619,-1.63593405,-1.917003627
4.8601,8,-1.5,-1.814339247,-1.753402869,-1.635065313,-1.915908018
4.8701,8,-1.5,-1.813584442,-1.752882256,-1.634199132,-1.914814866
