L,alfa,grilla,MV,alfa.GA,alfa.LN,alfa.LC,,
3,-3,0.7901,-6.935423856,-4.385415478,-3.266194175,-6.900011091,,
3,-3,0.8001,-6.944317678,-4.390487949,-3.267316056,-6.900727368,,
3,-3,0.8101,-6.952614795,-4.39537077,-3.268350815,-6.901000636,,
3,-3,0.8201,-6.96031969,-4.400063974,-3.269304426,-6.900842072,,
3,-3,0.8301,-6.967437008,-4.40456773,-3.270179113,-6.900262628,,
3,-3,0.8401,-6.97397153,-4.408882339,-3.27097704,-6.89927303,,
3,-3,0.8501,-6.979873978,-4.413008228,-3.27170031,-6.897883789,,
3,-3,0.8601,-6.985266367,-4.416945944,-3.27235097,-6.896105203,,
3,-3,0.8701,-6.990090083,-4.420696151,-3.272931011,-6.89394736,,
3,-3,0.8801,-6.994350594,-4.424259623,-3.273442368,-6.891420141,,
3,-3,0.8901,-6.998053548,-4.42763724,-3.273886923,-6.888533228,,
3,-3,0.9001,-7.001204741,-4.430829984,-3.274266509,-6.885296103,,
3,-3,0.9101,-7.00381013,-4.433838935,-3.274582905,-6.881718054,,
3,-3,0.9201,-7.005875802,-4.436665264,-3.274837842,-6.877808179,,
3,-3,0.9301,-7.007407959,-4.43931023,-3.275033003,-6.873575389,,
3,-3,0.9401,-7.008412959,-4.441775177,-3.210486834,-6.869028408,,
3,-3,0.9501,-7.00889724,-4.444061528,-3.210590824,-6.864175782,,
3,-3,0.9601,-7.008867398,-4.446170782,-3.210643296,-6.859025878,,
3,-3,0.9701,-7.008330118,-4.448104507,-3.210645666,-6.853586891,,
3,-3,0.9801,-7.007292211,-4.449864342,-3.210599308,-6.847866842,,
3,-3,0.9901,-7.005760591,-4.451451987,-3.21050556,-6.841873584,,
3,-3,1.0001,-7.003742284,-4.452869202,-3.210365719,-6.835614807,,
3,-3,1.0101,-7.001244421,-4.423634162,-3.210181048,-6.829098035,,
3,-3,1.0201,-6.998274235,-4.424753403,-3.209952773,-6.822330637,,
3,-3,1.0301,-6.994839052,-4.425715608,-3.209682085,-6.815319821,,
3,-3,1.0401,-6.990946288,-4.426522569,-3.209370141,-6.808072645,,
3,-3,1.0501,-6.986603452,-4.42717612,-3.209014597,-6.800596013,,
3,-3,1.0601,-6.981818135,-4.427678133,-3.208623596,-6.792896682,,
3,-3,1.0701,-6.976598012,-4.428030511,-3.208194631,-6.78498105,,
3,-3,1.0801,-6.970950822,-4.428235191,-3.207728528,-6.776854714,,
3,-3,1.0901,-6.964884372,-4.428294138,-3.20722669,-6.768525073,,
3,-3,1.1001,-6.958406543,-4.428209341,-3.206689899,-6.75999832,,
3,-3,1.1101,-6.951525263,-4.427982814,-3.206119101,-6.751280511,,
3,-3,1.1201,-6.944248515,-4.427618824,-3.205515218,-6.74237757,,
3,-3,1.1301,-6.936584324,-4.427114949,-3.204879143,-6.733295292,,
3,-3,1.1401,-6.928540764,-4.426475516,-3.204211747,-6.72403934,,
3,-3,1.1501,-6.92012593,-4.425702607,-3.203513873,-6.714615256,,
3,-3,1.1601,-6.911347965,-4.424798315,-3.202786344,-6.705028454,,
3,-3,1.1701,-6.902215013,-4.423764745,-3.202029957,-6.695284231,,
3,-3,1.1801,-6.892735245,-4.422604005,-3.201245487,-6.685387762,,
3,-3,1.1901,-6.882916848,-4.421318211,-3.200433689,-6.675344108,,
3,-3,1.2001,-6.872768004,-4.419909482,-3.13893999,-6.665158213,,
3,-3,1.2101,-6.862296893,-4.418379939,-3.138158741,-6.654834911,,
3,-3,1.2201,-6.851511695,-4.4167317,-3.137353868,-6.644378926,,
3,-3,1.2301,-6.840420568,-4.414966884,-3.136525999,-6.633794871,,
3,-3,1.2401,-6.829031656,-4.413087607,-3.135675746,-6.623087258,,
3,-3,1.2501,-6.817353071,-4.411095976,-3.134803701,-6.612260491,,
3,-3,1.2601,-6.8053929,-4.408994095,-3.133910442,-6.601318874,,
3,-3,1.2701,-6.793159172,-4.406784059,-3.133001399,-6.590316612,,
3,-3,1.2801,-6.78065989,-4.404467953,-3.132065829,-6.579157809,,
3,-3,1.2901,-6.767902989,-4.402047853,-3.131111004,-6.567896478,,
3,-3,1.3001,-6.754896335,-4.399525823,-3.130136274,-6.556536533,,
3,-3,1.3101,-6.741647736,-4.396903912,-3.129145017,-6.545081799,,
3,-3,1.3201,-6.728164923,-4.394184158,-3.128136152,-6.533536011,,
3,-3,1.3301,-6.714455535,-4.391368582,-3.12710871,-6.521902812,,
3,-3,1.3401,-6.70052712,-4.388459191,-3.126064935,-6.510185762,,
3,-3,1.3501,-6.686387133,-4.385457974,-3.125004432,-6.498388335,,
3,-3,1.3601,-6.672042971,-4.382366903,-3.123927012,-6.486513921,,
3,-3,1.3701,-6.657501956,-4.379187931,-3.122834001,-6.474565829,,
3,-3,1.3801,-6.64283322,-4.375922992,-3.121730641,-6.462547288,,
3,-3,1.3901,-6.627932806,-4.372574003,-3.120602503,-6.450461449,,
3,-3,1.4001,-6.612859075,-4.369142856,-3.11946372,-6.438311386,,
3,-3,1.4101,-6.597619193,-4.365631427,-3.118312477,-6.426100099,,
3,-3,1.4201,-6.582220206,-4.362041569,-3.11714643,-6.413830513,,
3,-3,1.4301,-6.566669074,-4.35837511,-3.115966934,-6.401505482,,
3,-3,1.4401,-6.550889612,-4.354633862,-3.114774509,-6.38912779,,
3,-3,1.4501,-6.535127468,-4.350819609,-3.11356989,-6.376700151,,
3,-3,1.4601,-6.519171448,-4.346934116,-3.112350321,-6.364225213,,
3,-3,1.4701,-6.503082769,-4.342979122,-3.11112003,-6.351705556,,
3,-3,1.4801,-6.486889191,-4.338956345,-3.109877881,-6.339143697,,
3,-3,1.4901,-6.470639635,-4.334867478,-3.108624552,-6.326542088,,
3,-3,1.5001,-6.454060218,-4.330714191,-3.10735982,-6.313903123,,
3,-3,1.5101,-6.437463832,-4.32649813,-3.106084027,-6.30122913,,
