grilla,L,alfa,MV,alfa.GA,alfa.LN,alfa.LC
1.00E-04,3,-1.5,-2.074986095,-2.61069612,-1.307301061,-1.724301826
0.0101,3,-1.5,-2.120509161,-2.535827782,-1.898191723,-2.183433237
0.0201,3,-1.5,-2.160896643,-2.492163582,-1.861488292,-2.291781857
0.0301,3,-1.5,-2.197235646,-2.477534869,-1.842209321,-2.362207929
0.0401,3,-1.5,-2.230263962,-2.445741237,-1.860517628,-2.415339658
0.0501,3,-1.5,-2.260510196,-2.415938981,-1.888517541,-2.458257049
0.0601,3,-1.5,-2.288372159,-2.410479963,-1.90071353,-2.494317653
0.0701,3,-1.5,-2.314157236,-2.382168672,-1.931285294,-2.525397107
0.0801,3,-1.5,-2.338100743,-2.380672841,-1.943789597,-2.552675468
0.0901,3,-1.5,-2.360408888,-2.380909539,-1.955732789,-2.576933252
0.1001,3,-1.5,-2.381240521,-2.382559466,-1.967031904,-2.598722971
0.1101,3,-1.5,-2.400731683,-2.385369105,-1.977675679,-2.618450532
0.1201,3,-1.5,-2.41899781,-2.389133436,-1.987681797,-2.636423932
0.1301,3,-1.5,-2.436138022,-2.393684118,-1.997079419,-2.652883105
0.1401,3,-1.5,-2.452238306,-2.398881213,-2.005901611,-2.668019078
0.1501,3,-1.5,-2.467373939,-2.404607188,-2.014181973,-2.681986769
0.1601,3,-1.5,-2.481611358,-2.410762465,-2.0219531,-2.694913797
0.1701,3,-1.5,-2.495009636,-2.417262043,-2.029245932,-2.706906734
0.1801,3,-1.5,-2.507613611,-2.424032899,-2.036089511,-2.718055641
0.1901,3,-1.5,-2.519485423,-2.431011948,-2.04251094,-2.728437421
0.2001,3,-1.5,-2.530661701,-2.438144436,-2.048535451,-2.738112471
0.2101,3,-1.5,-2.541181731,-2.445382644,-2.054186504,-2.7471506
0.2201,3,-1.5,-2.551081435,-2.452684846,-2.059485916,-2.755595884
0.2301,3,-1.5,-2.560393799,-2.460014456,-2.064453983,-2.763492709
0.2401,3,-1.5,-2.56914923,-2.467339324,-2.069109607,-2.770883995
0.2501,3,-1.5,-2.577375855,-2.495060411,-2.073469849,-2.777797215
0.2601,3,-1.5,-2.585099782,-2.50199198,-2.077552201,-2.784268356
0.2701,3,-1.5,-2.592345315,-2.50885923,-2.081371522,-2.790325752
0.2801,3,-1.5,-2.599135143,-2.51564356,-2.08494218,-2.795995038
0.2901,3,-1.5,-2.605490504,-2.52232849,-2.08827763,-2.801299496
0.3001,3,-1.5,-2.611431322,-2.528899427,-2.091390486,-2.806260349
0.3101,3,-1.5,-2.61697633,-2.535343471,-2.094292586,-2.810897009
0.3201,3,-1.5,-2.622141583,-2.541649244,-2.096995051,-2.815227285
0.3301,3,-1.5,-2.626946592,-2.547806744,-2.099508335,-2.819267565
0.3401,3,-1.5,-2.631405754,-2.553807214,-2.101842607,-2.823032972
0.3501,3,-1.5,-2.635533961,-2.559643028,-2.079933671,-2.826537495
0.3601,3,-1.5,-2.639345326,-2.565307589,-2.081867352,-2.829794106
0.3701,3,-1.5,-2.642853245,-2.570795241,-2.083654622,-2.832814864
0.3801,3,-1.5,-2.646070441,-2.594326583,-2.085303004,-2.835610998
0.3901,3,-1.5,-2.649009013,-2.599349315,-2.086819593,-2.838192989
0.4001,3,-1.5,-2.651680472,-2.604196879,-2.088211086,-2.840570639
0.4101,3,-1.5,-2.654108091,-2.608866352,-2.089483812,-2.842753129
0.4201,3,-1.5,-2.656280985,-2.613355389,-2.090643748,-2.844749072
0.4301,3,-1.5,-2.658218949,-2.617662179,-2.091696548,-2.846566565
0.4401,3,-1.5,-2.659931645,-2.621785408,-2.092647559,-2.848213229
0.4501,3,-1.5,-2.66142832,-2.625724221,-2.093501843,-2.849696246
0.4601,3,-1.5,-2.66271783,-2.629478182,-2.094264191,-2.851022398
0.4701,3,-1.5,-2.66380865,-2.633047252,-2.094939143,-2.852198092
0.4801,3,-1.5,-2.664708719,-2.636431751,-2.095531,-2.853229393
0.4901,3,-1.5,-2.665426801,-2.639632336,-2.096043728,-2.854122045
0.5001,3,-1.5,-2.665968644,-2.64264997,-2.096480843,-2.854881497
0.5101,3,-1.5,-2.666342207,-2.645485905,-2.096845704,-2.855512923
0.5201,3,-1.5,-2.666555833,-2.648141652,-2.097145902,-2.856021241
0.5301,3,-1.5,-2.666614402,-2.650618965,-2.073415069,-2.856411128
0.5401,3,-1.5,-2.666526914,-2.652919818,-2.073601816,-2.856687039
0.5501,3,-1.5,-2.66629399,-2.655046389,-2.073737549,-2.856853219
0.5601,3,-1.5,-2.665925897,-2.657001038,-2.073817127,-2.856913719
0.5701,3,-1.5,-2.665427703,-2.658786293,-2.073846193,-2.856872405
0.5801,3,-1.5,-2.664804984,-2.660404836,-2.073827173,-2.85673297
0.5901,3,-1.5,-2.664064621,-2.661859482,-2.073762375,-2.856498947
0.6001,3,-1.5,-2.663203232,-2.663153169,-2.073653991,-2.856173714
0.6101,3,-1.5,-2.662237318,-2.664288944,-2.073504103,-2.855760506
0.6201,3,-1.5,-2.661163183,-2.665269949,-2.073314691,-2.855262424
0.6301,3,-1.5,-2.659989511,-2.66609941,-2.073087641,-2.854682438
0.6401,3,-1.5,-2.658719688,-2.666780625,-2.072824742,-2.8540234
0.6501,3,-1.5,-2.657356994,-2.667316952,-2.072527699,-2.853288044
0.6601,3,-1.5,-2.655907471,-2.6677118,-2.072198134,-2.852478999
0.6701,3,-1.5,-2.654387072,-2.667968619,-2.07183759,-2.851598788
0.6801,3,-1.5,-2.652759839,-2.668090893,-2.071447536,-2.85064984
0.6901,3,-1.5,-2.651066023,-2.668082126,-2.071029373,-2.849634487
0.7001,3,-1.5,-2.649299528,-2.667945839,-2.070584432,-2.848554976
0.7101,3,-1.5,-2.647464588,-2.667685561,-2.070113983,-2.84741347
0.7201,3,-1.5,-2.645560271,-2.667304821,-2.069619235,-2.846212052
0.7301,3,-1.5,-2.643590493,-2.66680714,-2.069101341,-2.844952727
0.7401,3,-1.5,-2.64147896,-2.666196029,-2.068561398,-2.843637431
0.7501,3,-1.5,-2.639283146,-2.665474982,-2.068000454,-2.84226803
0.7601,3,-1.5,-2.637339472,-2.664647465,-2.067419506,-2.840846322
