L;n;alfa.MV;alfa.GA;alfa.LN;alfa.LC
3.21;9;-1.521239586;-20;-20;-1.682055773
3.21;9;-20;-20;-5.322122712;-20
3.21;9;-8.423040016;-20;-3.419622785;-2.436124985
3.21;9;-20;-20;-1.487735706;-20
3.21;9;-17.26279193;-5.660001358;-8.79051877;-20
3.21;9;-20;-20;-20;-20
3.21;9;-18.74943302;-4.396459565;-3.608460771;-20
3.21;9;-20;-7.356542817;-20;-20
3.21;9;-3.720409739;-3.151093107;-3.382794702;-2.399430219
3.21;9;-4.312480503;-9.717532854;-7.746802208;-7.445332975
3.21;9;-20;-3.438687451;-20;-20
3.21;9;-5.312969176;-5.826491211;-5.227065185;-11.19004862
3.21;9;-20;-3.281358165;-1.765285457;-20
3.21;9;-20;-2.282811875;-1.339465106;-5.986061125
3.21;9;-20;-2.009111509;-2.536881256;-20
3.21;9;-8.18391607;-3.543200225;-2.599722453;-3.160603469
3.21;9;-1.671851351;-5.30818368;-3.037310423;-1.49119255
3.21;9;-10.68821798;-2.314951871;-9.794566849;-20
3.21;9;-20;-20;-20;-20
3.21;9;-20;-3.741507603;-2.095766245;-20
3.21;9;-20;-9.656973797;-4.202306794;-20
3.21;9;-20;-4.81963017;-5.725513367;-4.081359297
3.21;9;-14.65120762;-3.872240963;-20;-20
3.21;9;-7.236360946;-3.389321919;-2.403448967;-4.872683996
3.21;9;-7.659444617;-17.3508224;-2.379344034;-5.132232095
3.21;9;-1.964659832;-5.528424613;-2.436983315;-1.676332405
3.21;9;-20;-4.662821531;-2.905090112;-3.261779711
3.21;9;-6.539330766;-10.26368497;-2.145644357;-3.23368399
3.21;9;-5.024542839;-5.076443765;-2.893865434;-2.931724827
3.21;9;-3.030814837;-7.430565473;-8.692097029;-2.441471151
3.21;9;-20;-3.371658613;-20;-20
3.21;9;-4.663970779;-1.630541142;-3.865233098;-4.701128485
3.21;9;-14.08106047;-4.047500705;-3.06654181;-20
3.21;9;-20;-3.749350875;-4.332506651;-20
3.21;9;-20;-4.082979367;-1.855338688;-20
3.21;9;-3.565210844;-20;-5.884258441;-20
3.21;9;-20;-9.989477857;-4.887954878;-3.178970064
3.21;9;-4.976022334;-3.822734878;-20;-2.688890911
3.21;9;-20;-4.225916923;-2.66025394;-3.135973003
3.21;9;-6.136270709;-20;-1.906295845;-2.359510808
3.21;9;-20;-20;-20;-20
3.21;9;-20;-2.10983465;-5.255365979;-20
3.21;9;-20;-3.301727776;-20;-13.41143917
3.21;9;-13.04490756;-3.179551788;-2.421928497;-2.715497363
3.21;9;-20;-2.60102915;-1.771451767;-20
3.21;9;-20;-4.418717491;-2.937652198;-20
3.21;9;-4.607892932;-20;-2.190969452;-20
3.21;9;-20;-17.9796491;-3.795270287;-8.155447272
3.21;9;-18.6079042;-3.778594336;-3.294242018;-20
3.21;9;-20;-4.297957212;-3.155839377;-20
3.21;9;-7.176560152;-10.73833993;-4.349636849;-6.696323365
3.21;9;-20;-20;-17.35969305;-20
3.21;9;-20;-1.75312697;-2.350843548;-20
3.21;9;-20;-7.319805785;-5.373466086;-12.06204852
3.21;9;-20;-7.515980224;-4.875918241;-20
3.21;9;-6.348951675;-20;-3.138964552;-2.76040506
3.21;9;-20;-2.808945763;-2.405830583;-7.311559924
3.21;9;-20;-2.402278437;-20;-20
3.21;9;-20;-20;-2.577420503;-20
3.21;9;-20;-7.094412574;-3.473288292;-20
3.21;9;-18.84900247;-6.664908414;-1.400453098;-3.700958067
3.21;9;-20;-5.790124951;-3.383249999;-20
3.21;9;-20;-2.155322853;-2.244221713;-20
3.21;9;-20;-3.286996941;-4.801698892;-20
3.21;9;-20;-5.053903742;-2.192840061;-20
3.21;9;-20;-6.895090888;-3.334881767;-20
3.21;9;-4.385517686;-6.414978858;-3.04985488;-20
3.21;9;-20;-5.064880063;-10.41487391;-20
3.21;9;-16.82934113;-20;-3.716434455;-4.22022502
3.21;9;-20;-20;-20;-20
3.21;9;-20;-7.781290056;-3.815765422;-20
3.21;9;-2.372220288;-20;-3.354730267;-2.181396509
3.21;9;-2.029282904;-2.724276485;-20;-1.89164223
3.21;9;-20;-2.759379963;-3.175914381;-20
3.21;9;-20;-20;-13.21516231;-20
3.21;9;-20;-4.556319875;-1.96728206;-20
3.21;9;-20;-20;-8.189548922;-20
3.21;9;-6.561161792;-9.233409148;-5.262427085;-20
3.21;9;-20;-2.097408438;-2.005820555;-20
3.21;9;-20;-2.50795624;-17.04120769;-20
3.21;9;-5.272337604;-3.985482868;-3.874566176;-20
3.21;9;-20;-3.834701598;-6.838904804;-20
3.21;9;-3.178900462;-4.688008773;-6.488282143;-1.966344847
3.21;9;-20;-4.059779428;-13.79213245;-7.933796463
3.21;9;-20;-4.009323757;-2.378077849;-20
3.21;9;-20;-7.551762876;-7.599248125;-13.29880784
3.21;9;-20;-2.59899591;-3.205708895;-20
3.21;9;-15.77500873;-16.55993336;-1.609466395;-20
3.21;9;-5.909842871;-8.876908344;-3.232348237;-20
3.21;9;-20;-12.29664204;-4.957993337;-20
3.21;9;-4.805772485;-4.058875712;-11.36154104;-2.160301011
3.21;9;-20;-14.48882408;-17.98639741;-7.692476147
3.21;9;-20;-9.881256859;-1.895715772;-9.111992953
3.21;9;-4.98753249;-6.182514157;-3.330748084;-2.282811795
3.21;9;-2.717882014;-1.942710271;-13.74629631;-1.903980065
3.21;9;-20;-20;-3.616351819;-9.045470253
3.21;9;-20;-20;-3.190381639;-20
3.21;9;-20;-2.139355445;-3.177356302;-19.70380477
3.21;9;-6.984464498;-9.00320701;-3.415840122;-20
3.21;9;-20;-2.926578431;-1.855967251;-20
3.21;9;-5.431598761;-4.751596312;-4.410602984;-20
3.21;9;-20;-5.74204203;-20;-20
3.21;9;-5.692319074;-2.9838347;-3.084495782;-4.986569745
3.21;9;-20;-7.134389378;-6.738912964;-20
3.21;9;-3.868843501;-20;-2.79869447;-2.14773253
3.21;9;-4.862685982;-20;-2.112119012;-4.042673309
3.21;9;-8.475224583;-2.640542399;-2.756048381;-3.040043306
3.21;9;-2.507249063;-3.079796862;-3.22974703;-1.877983945
3.21;9;-11.02484429;-8.814587246;-5.362201303;-20
3.21;9;-7.054715288;-4.958958011;-6.548264567;-3.578055567
3.21;9;-20;-20;-3.914857945;-3.560533826
3.21;9;-9.452984947;-3.759095255;-3.815000928;-20
3.21;9;-20;-20;-20;-3.216351779
3.21;9;-2.393553856;-10.50619355;-3.484569452;-1.783905616
3.21;9;-20;-20;-5.506865012;-10.68743149
3.21;9;-20;-7.905858898;-13.02332582;-13.55598387
3.21;9;-5.187197691;-4.615642099;-2.518905999;-5.975216399
3.21;9;-20;-5.842120589;-3.885535034;-20
3.21;9;-20;-3.505179486;-2.698294164;-2.908605832
3.21;9;-3.496625657;-5.083609163;-2.139873599;-11.08557546
3.21;9;-20;-2.370441789;-2.692243825;-7.006763114
3.21;9;-15.79494347;-20;-2.252546979;-20
3.21;9;-9.615335796;-8.879825924;-3.225626424;-20
3.21;9;-20;-2.412230653;-3.379143871;-20
3.21;9;-9.785833174;-6.272818519;-20;-2.818105845
3.21;9;-20;-3.5928241;-14.41827872;-20
3.21;9;-20;-7.674181022;-4.170043784;-20
3.21;9;-9.226255089;-5.034894177;-3.052882581;-20
3.21;9;-20;-20;-2.009592654;-20
3.21;9;-20;-20;-2.80067939;-7.569788957
3.21;9;-11.73358167;-6.172962289;-2.163034649;-2.894660598
3.21;9;-8.833388792;-20;-16.5175502;-3.81184804
3.21;9;-5.873224811;-7.620379022;-20;-20
3.21;9;-8.946338168;-3.89716162;-4.293692932;-3.183665967
3.21;25;-5.133121992;-3.19586574;-2.291493761;-20
3.21;25;-10.69220088;-3.302930891;-4.661561412;-2.843226453
3.21;25;-4.787053151;-3.013910343;-2.231540134;-2.454710113
3.21;25;-3.952291395;-2.522886163;-2.153071064;-3.315032289
3.21;25;-20;-6.013467123;-4.073094375;-7.347131171
3.21;25;-20;-5.592742387;-4.17687941;-6.48591185
3.21;25;-4.973097731;-3.097087456;-2.814257642;-4.707711444
3.21;25;-13.86959089;-3.933388372;-2.294961922;-7.019366383
3.21;25;-20;-5.682012257;-2.163238094;-20
3.21;25;-20;-20;-6.692647386;-20
3.21;25;-20;-4.228023351;-2.564204153;-3.92241603
3.21;25;-14.15201466;-4.910745727;-2.101837169;-3.493558278
3.21;25;-7.826745149;-3.891999635;-2.785565828;-20
3.21;25;-20;-8.03367995;-3.810731758;-18.79127495
3.21;25;-20;-9.942775649;-4.053354113;-20
3.21;25;-5.144735113;-3.247201051;-2.09930392;-3.663644478
3.21;25;-6.787100521;-3.863685924;-2.519717764;-20
3.21;25;-9.849083514;-4.394826382;-2.781902339;-20
3.21;25;-3.930763074;-3.743702714;-2.2762095;-2.798358885
3.21;25;-5.740593893;-3.225202787;-4.975804767;-20
3.21;25;-8.154685298;-5.689299843;-2.696406273;-20
3.21;25;-20;-3.222433232;-4.88425853;-20
3.21;25;-2.568008028;-2.399473639;-2.667149205;-1.959679405
3.21;25;-20;-4.055773973;-2.920689735;-6.089827297
3.21;25;-20;-4.850201919;-9.79925776;-7.239689537
3.21;25;-20;-6.130440716;-5.853919448;-20
3.21;25;-20;-7.79799008;-2.86167463;-16.34091489
3.21;25;-20;-5.50365341;-2.928774665;-9.115021229
3.21;25;-20;-8.878410326;-3.03962035;-6.501290748
3.21;25;-6.449620847;-2.941884055;-4.031342433;-3.096816819
3.21;25;-20;-2.604567223;-3.221544875;-5.270952293
3.21;25;-3.160775944;-5.298628515;-2.815945276;-3.156079532
3.21;25;-7.556948298;-3.017393653;-2.040301618;-4.264558257
3.21;25;-13.24065234;-5.007006953;-2.791624018;-13.98207119
3.21;25;-10.45844759;-4.803015153;-5.280028548;-20
3.21;25;-18.40309077;-10.34786354;-2.722892594;-5.053908306
3.21;25;-20;-20;-2.52130059;-20
3.21;25;-20;-11.69925212;-16.2674454;-20
3.21;25;-11.93320161;-5.158888865;-5.267497408;-16.29626649
3.21;25;-3.283936757;-4.168879691;-6.47200974;-2.393152876
3.21;25;-17.34894432;-2.40747756;-2.019090862;-20
3.21;25;-5.34634295;-3.515473399;-4.365373767;-20
3.21;25;-13.37273765;-4.17686543;-3.184256888;-20
3.21;25;-10.6331221;-4.539346959;-2.788771082;-5.575116024
3.21;25;-20;-20;-4.102753928;-15.9096393
3.21;25;-20;-5.198268902;-6.156070865;-20
3.21;25;-12.76012632;-20;-7.293389127;-3.589002797
3.21;25;-20;-7.227420569;-3.609971691;-15.17206458
3.21;25;-20;-5.930549903;-20;-20
3.21;25;-20;-5.585182175;-10.27692472;-20
3.21;25;-6.97243779;-4.725549603;-20;-4.973086402
3.21;25;-4.482163791;-3.526448877;-2.549230736;-3.517090224
3.21;25;-20;-10.1318435;-2.316119747;-6.324940428
3.21;25;-14.77767546;-6.295239842;-3.556398275;-20
3.21;25;-5.666758387;-2.957990901;-3.883632099;-3.010597114
3.21;25;-9.865274632;-3.556117848;-3.756882096;-2.831646948
3.21;25;-12.29819619;-3.788970865;-3.284289791;-20
3.21;25;-20;-4.242258865;-2.61280495;-20
3.21;25;-12.08481224;-3.75396027;-11.85567502;-20
3.21;25;-15.96206345;-9.832336578;-2.723633009;-7.611401957
3.21;25;-10.19030623;-4.118806768;-2.912565945;-3.773920737
3.21;25;-20;-5.291719714;-3.688660749;-20
3.21;25;-5.224254961;-3.470410754;-2.488842918;-14.19072106
3.21;25;-20;-5.953027698;-5.693048436;-20
3.21;25;-9.93651094;-3.500815032;-3.413661521;-20
3.21;25;-6.864527533;-4.034048906;-4.66617163;-5.127895964
3.21;25;-20;-4.905118369;-3.608996862;-20
3.21;25;-20;-3.151987191;-3.047883823;-7.041644787
3.21;25;-7.992311444;-3.986383465;-3.004818592;-20
3.21;25;-10.50631077;-3.613112746;-2.543485643;-3.487731594
3.21;25;-6.499391476;-3.627146936;-3.176176266;-20
3.21;25;-20;-4.212333295;-3.42898974;-13.41631386
3.21;25;-9.307061731;-2.536728762;-2.326482146;-4.496043639
3.21;25;-20;-7.461582771;-5.541047434;-16.57945157
3.21;25;-12.33676107;-3.855182251;-3.310636005;-20
3.21;25;-8.94956704;-3.817559059;-3.281687771;-5.832532549
3.21;25;-15.40258268;-3.086389488;-2.647661386;-20
3.21;25;-6.443775463;-3.41375775;-3.237180451;-3.842502878
3.21;25;-8.375560672;-2.495710826;-2.694644002;-20
3.21;25;-3.345770865;-3.698150044;-2.428515467;-4.395667753
3.21;25;-10.95803964;-2.738636811;-2.946054332;-20
3.21;25;-15.86208167;-3.270651947;-3.133530398;-7.002065622
3.21;25;-8.163952292;-6.280345992;-2.571549946;-4.793415757
3.21;25;-20;-6.239024624;-4.679257463;-20
3.21;25;-20;-6.904378109;-5.349720665;-20
3.21;25;-20;-3.513207652;-3.740486178;-8.841195213
3.21;25;-15.19348622;-2.465371044;-4.51187051;-20
3.21;25;-5.720524489;-5.244414459;-2.082687722;-3.753838101
3.21;25;-14.53983877;-3.066398017;-3.361392787;-20
3.21;25;-17.70898478;-4.117220879;-4.901058612;-7.373348334
3.21;25;-13.13430553;-8.146230826;-3.97476889;-10.31946431
3.21;25;-11.39425175;-2.985514447;-5.024650776;-20
3.21;25;-14.13165229;-4.826053104;-2.480534385;-6.10520842
3.21;25;-20;-8.365017194;-3.844157288;-16.06929002
3.21;25;-20;-5.088470547;-6.977182707;-20
3.21;25;-20;-2.782505059;-4.720747531;-20
3.21;25;-7.61046808;-20;-4.110566965;-3.396419272
3.21;25;-20;-2.726285339;-20;-20
3.21;25;-4.720450827;-4.609524632;-2.355360633;-3.741516399
3.21;25;-20;-16.84049152;-8.807635795;-3.683802347
3.21;25;-20;-3.801120848;-6.244755062;-20
3.21;25;-17.75348415;-6.266229094;-3.010491491;-4.35090146
3.21;25;-20;-2.447641833;-3.388552868;-20
3.21;25;-4.157283602;-5.39732705;-2.361001882;-2.199942277
3.21;25;-7.544389684;-6.262934918;-3.568779073;-20
3.21;25;-16.7197209;-7.283069893;-4.162679555;-6.508999359
3.21;25;-20;-2.909656361;-3.265263928;-20
3.21;25;-9.16960289;-2.870789395;-2.519247059;-20
3.21;25;-20;-2.900513524;-2.243377063;-3.037241342
3.21;25;-5.508515663;-3.288749135;-2.355010486;-11.83273715
3.21;25;-20;-4.508458728;-3.058952285;-20
3.21;25;-8.518052024;-18.02669408;-4.088141303;-20
3.21;25;-20;-2.767703707;-20;-20
3.21;25;-7.327833245;-20;-5.379158709;-4.17234296
3.21;25;-20;-2.709497075;-11.50394096;-20
3.21;25;-4.304963297;-9.976757548;-2.620102123;-2.146991228
3.21;25;-16.70795718;-3.466384746;-4.394315228;-20
3.21;25;-5.483510569;-3.509577518;-3.294476635;-2.590840284
3.21;25;-5.489975964;-5.577488128;-2.001114104;-6.102049646
3.21;25;-20;-8.002229653;-15.19010436;-20
3.21;25;-20;-2.759279644;-2.744251368;-4.25998536
3.21;25;-9.516871478;-3.297457256;-2.919164837;-20
3.21;25;-20;-4.895939786;-2.631713116;-8.435745701
3.21;25;-6.863909372;-2.711793995;-2.737170119;-3.809806462
3.21;25;-8.742096743;-2.662971258;-2.752583137;-5.074041277
3.21;25;-20;-5.84554192;-3.890017424;-20
3.21;25;-17.17493624;-4.189941763;-3.107555928;-20
3.21;25;-20;-20;-2.207693573;-4.231684775
3.21;25;-7.416371268;-3.603663227;-2.77368358;-20
3.21;25;-5.583897742;-5.535729833;-2.58463256;-5.407820255
3.21;25;-20;-4.431022056;-3.220842985;-4.986843654
3.21;25;-6.243642049;-3.756505791;-6.004443195;-3.310926187
3.21;25;-7.389620216;-2.880103973;-2.470788358;-20
3.21;25;-20;-4.643251553;-3.378336637;-18.7391897
3.21;25;-20;-8.047097957;-1.596758618;-20
3.21;25;-20;-3.156569112;-2.429462511;-20
3.21;25;-11.44998538;-3.078374112;-2.867351177;-5.259660504
3.21;25;-20;-3.708268268;-2.301884656;-13.86820803
3.21;25;-12.38528331;-7.746995249;-3.502781949;-4.343656077
3.21;25;-20;-3.099286654;-7.02734148;-20
3.21;25;-6.46392024;-2.571411143;-3.165026659;-20
3.21;25;-5.631235914;-3.797295208;-2.913900285;-2.707086579
3.21;25;-4.877744709;-3.066691516;-2.317676214;-2.633081025
3.21;25;-4.563500627;-2.206392338;-2.064299286;-5.359148256
3.21;25;-3.864624204;-4.914904417;-2.03792803;-2.600260695
3.21;25;-5.276302593;-4.972852026;-13.7156986;-4.847277337
3.21;25;-20;-2.937159624;-2.924802624;-4.831065716
3.21;25;-9.142038611;-3.219401381;-2.677465586;-2.916904012
3.21;25;-19.01659018;-3.820466962;-2.898478261;-6.496634664
3.21;25;-5.834013533;-6.512550004;-3.598804664;-20
3.21;25;-9.757632593;-3.241174522;-3.680701229;-3.844504591
3.21;25;-20;-5.575337515;-3.030512672;-4.476130919
3.21;25;-4.605494441;-3.318273403;-4.698508742;-12.76331972
3.21;25;-7.099386909;-2.766830003;-2.868030905;-8.539658206
3.21;25;-2.926603363;-3.904503044;-2.526790177;-2.261137663
3.21;25;-3.679806044;-8.52459047;-2.969764366;-2.224868936
3.21;25;-16.7306068;-3.586869378;-13.5303831;-20
3.21;25;-11.30708869;-2.764276596;-3.352492297;-20
3.21;25;-4.579177688;-3.163749338;-2.483002921;-4.107667176
3.21;25;-20;-3.112049796;-3.267273202;-20
3.21;25;-20;-2.995731076;-3.261886578;-4.625378351
3.21;25;-20;-6.067369506;-2.703227401;-7.386503394
3.21;25;-20;-7.904970989;-3.398342071;-4.757922253
3.21;25;-20;-3.094595808;-5.992807828;-20
3.21;25;-6.953313259;-20;-2.429193695;-5.240030513
3.21;25;-20;-2.382512886;-8.707000743;-20
3.21;25;-20;-20;-2.096336357;-20
3.21;25;-20;-7.048077481;-11.86699503;-20
3.21;25;-20;-2.695455173;-3.874565144;-20
3.21;25;-5.759900668;-3.567209662;-2.099776027;-3.072531298
3.21;25;-9.016482946;-6.473318841;-2.205489142;-20
3.21;25;-7.271629161;-7.230868439;-5.279472824;-20
3.21;25;-20;-4.062546827;-9.718066218;-8.532810086
3.21;25;-20;-5.76843859;-2.727847357;-20
3.21;25;-14.39989968;-3.139179063;-4.03212057;-20
3.21;25;-8.302279403;-2.4528479;-2.702941968;-2.95930365
3.21;25;-20;-4.712140121;-2.690059931;-3.206516661
3.21;25;-4.238854365;-4.634832382;-4.277736859;-2.546183274
3.21;25;-7.796050326;-7.468159595;-4.923685343;-20
3.21;25;-20;-2.740210429;-4.754935027;-8.110402047
3.21;25;-20;-5.507543365;-2.821393626;-20
3.21;25;-5.03762663;-4.506374792;-6.171446972;-2.928811974
3.21;25;-7.991902426;-3.025108528;-3.155176576;-20
3.21;25;-14.18043932;-3.107032942;-2.830430072;-20
3.21;25;-4.526227285;-4.227779359;-2.742013398;-3.893241669
3.21;25;-8.2343596;-3.079950425;-5.259931173;-20
3.21;25;-8.474506414;-5.119357367;-2.763076162;-20
3.21;25;-7.162954402;-20;-2.216977416;-4.176503524
3.21;25;-5.190488975;-4.161956864;-2.916265688;-4.975548004
3.21;25;-4.497260417;-2.535873217;-4.049870605;-2.536387786
3.21;25;-8.270718745;-7.106282382;-2.672705297;-4.455552925
3.21;25;-5.742139381;-10.47361568;-3.108987434;-4.961563838
3.21;25;-20;-4.04483157;-4.499608653;-20
3.21;25;-20;-5.132113024;-4.389248003;-16.35238646
3.21;25;-14.84387198;-13.01278851;-3.35174801;-20
3.21;25;-8.760248872;-4.503669481;-3.798316411;-17.09978584
3.21;25;-20;-4.659719196;-2.767284813;-20
3.21;25;-5.694679197;-2.815879546;-2.956839205;-20
3.21;25;-10.40012699;-3.267907915;-2.489095517;-3.128370579
3.21;25;-8.618313438;-3.712191971;-3.671696041;-4.491123055
3.21;25;-20;-3.666911873;-1.93885376;-8.022470566
3.21;25;-4.178849604;-5.472535973;-2.554506692;-2.594073217
3.21;25;-6.049392613;-5.221551047;-3.595001776;-3.476886824
3.21;25;-18.26532797;-3.999894854;-3.932348514;-14.59793996
3.21;25;-20;-5.0389911;-4.086036101;-20
3.21;25;-15.77919421;-4.013155548;-4.623711862;-7.952927913
3.21;25;-20;-5.19210699;-2.392220463;-9.146651818
3.21;25;-20;-4.999198195;-3.071485513;-17.64435978
3.21;25;-20;-6.16173574;-2.416761644;-20
3.21;25;-20;-3.883392054;-3.424367052;-20
3.21;25;-20;-3.553934142;-2.408484305;-20
3.21;25;-3.45907901;-8.95320023;-3.822475286;-2.631057978
3.21;25;-9.112389302;-4.308273624;-13.04752079;-20
3.21;25;-20;-6.565779789;-2.766329507;-20
3.21;25;-20;-2.896207664;-4.398535833;-20
3.21;25;-11.95097437;-4.536718053;-3.115695816;-4.453818477
3.21;25;-20;-3.427391561;-2.604194932;-20
3.21;25;-10.18528514;-4.605867007;-3.262454902;-4.472718318
3.21;25;-4.842012882;-3.40276769;-2.296912815;-4.429337808
3.21;25;-7.284129147;-3.317886897;-3.967947322;-20
3.21;25;-16.1250261;-6.199972204;-4.504393824;-20
3.21;25;-5.955115699;-3.400855513;-4.243696895;-7.360178574
3.21;25;-7.739519594;-4.492149647;-1.938302574;-5.104379982
3.21;25;-7.404719347;-3.498585474;-2.748535183;-20
3.21;25;-9.873044893;-4.834910139;-2.659512083;-20
3.21;25;-12.33162348;-6.025515569;-6.151719374;-20
3.21;25;-10.78916709;-9.391754818;-4.814737544;-5.052257794
3.21;25;-20;-4.489200288;-5.761639816;-10.92061419
3.21;25;-16.6002678;-2.729182237;-4.648285851;-20
3.21;25;-10.81564847;-3.720961538;-1.95636156;-20
3.21;25;-20;-4.803715666;-2.529987509;-20
3.21;25;-5.233384342;-3.363510041;-2.287699573;-3.392720117
3.21;25;-5.016081012;-4.40868505;-4.928119865;-20
3.21;25;-4.648912408;-4.072796119;-9.073227463;-2.690558411
3.21;25;-6.453725665;-7.077870586;-5.749778092;-12.73976696
3.21;25;-20;-2.642769011;-2.541041473;-20
3.21;25;-20;-5.201574758;-3.35900133;-20
3.21;25;-4.847720071;-4.118115927;-3.734112661;-20
3.21;25;-20;-5.326547113;-2.953247244;-4.214212224
3.21;25;-20;-4.698259069;-4.964464957;-20
3.21;25;-7.913238184;-4.389412393;-3.663251624;-5.438938866
3.21;25;-20;-3.919589427;-3.266366692;-20
3.21;25;-20;-4.982207172;-4.469930795;-13.71680157
3.21;25;-15.07788777;-2.938617312;-3.280459353;-20
3.21;25;-10.84860295;-3.252955241;-3.849643349;-6.347858276
3.21;25;-20;-3.455632865;-3.047873752;-8.637340115
3.21;25;-4.059778203;-5.445359791;-2.727259721;-7.769984284
3.21;25;-6.186778883;-5.32058209;-3.54281558;-2.838871928
3.21;25;-3.321287539;-6.46805645;-3.697114173;-2.396452815
3.21;25;-11.00156168;-20;-11.87235644;-4.467155765
3.21;25;-4.277507416;-4.180442339;-20;-3.046018535
3.21;25;-9.189078503;-5.975638733;-2.655796078;-8.947407094
3.21;25;-20;-7.007113599;-2.121712551;-20
3.21;25;-5.465324728;-6.636791734;-5.627395791;-2.332693125
3.21;25;-13.52690742;-3.507625696;-2.91928705;-20
3.21;25;-16.82450069;-14.04315447;-2.969042449;-3.868016931
3.21;25;-20;-6.170238981;-4.251055545;-20
3.21;25;-5.829606887;-4.160929359;-7.979510978;-20
3.21;25;-20;-2.625280695;-2.963834044;-7.681971191
3.21;25;-20;-2.878152128;-3.265616568;-20
3.21;25;-11.12659021;-7.153161217;-2.615840997;-20
3.21;25;-5.657237466;-4.708411753;-4.855654135;-20
3.21;25;-9.230522441;-5.797378163;-3.703419615;-20
3.21;25;-20;-3.715228338;-2.74393518;-20
3.21;25;-20;-3.874258702;-2.621420881;-20
3.21;25;-5.157869332;-12.94683538;-2.379488469;-2.523884899
3.21;25;-14.11138575;-4.577543385;-5.069707234;-3.130360192
3.21;25;-11.85050645;-2.99286141;-2.794527451;-6.907366417
3.21;25;-20;-2.984063237;-2.315626827;-6.488666548
3.21;25;-20;-4.498348969;-2.62307504;-4.238511865
3.21;25;-11.05809223;-10.48790031;-4.462325425;-20
3.21;25;-10.39976896;-2.656493733;-10.97616787;-3.549274855
3.21;25;-20;-7.038691228;-6.431753595;-20
3.21;25;-18.76112849;-4.565736811;-4.120497282;-20
3.21;25;-20;-4.729131671;-3.797375651;-20
3.21;25;-8.637126422;-5.419242316;-2.07125224;-20
3.21;25;-12.56560138;-3.890931903;-10.96534718;-20
3.21;25;-6.990343078;-3.383236979;-3.598936378;-20
3.21;25;-11.38140346;-4.848332945;-2.341822584;-5.174898693
3.21;25;-9.437211871;-7.314591126;-3.269044852;-20
3.21;25;-5.946847689;-3.717554808;-6.997311821;-20
3.21;25;-20;-7.529618356;-3.398972895;-20
3.21;25;-20;-10.42438588;-3.294839641;-20
3.21;25;-4.857552715;-9.656973609;-7.493597362;-20
3.21;25;-6.171906444;-2.591401178;-18.90496636;-6.136796009
3.21;25;-20;-7.232706328;-2.136433036;-7.437688071
3.21;25;-20;-3.685396072;-5.786880988;-15.26430611
3.21;25;-5.821316526;-4.837050978;-2.608338365;-20
3.21;25;-20;-3.911767625;-2.654478062;-20
3.21;25;-5.906108177;-2.782113965;-3.767330786;-2.520744333
3.21;25;-7.088929335;-3.316967545;-2.089065203;-2.795308145
3.21;25;-7.71456868;-3.337689124;-3.245092104;-20
3.21;25;-3.426028516;-3.837474844;-3.102834296;-2.897544424
3.21;25;-9.161252227;-4.539720806;-2.65696374;-20
3.21;25;-5.697319107;-4.144341697;-4.889387368;-3.903285489
3.21;25;-20;-2.847135747;-3.031610319;-20
3.21;25;-20;-6.739875435;-2.589148833;-20
3.21;25;-6.524614357;-4.794484744;-4.42795745;-20
3.21;25;-14.30443702;-5.280670583;-3.802347093;-3.330874475
3.21;25;-11.3141871;-4.224138747;-3.629689233;-20
3.21;25;-5.414481003;-3.833629088;-2.762045261;-14.60959782
3.21;25;-10.15602767;-2.696510891;-2.42519342;-20
3.21;25;-11.65305064;-2.683761324;-1.822098764;-7.344715854
3.21;25;-16.77566848;-3.667064883;-2.522162773;-4.449854799
3.21;25;-5.589124485;-3.166457822;-2.06259325;-6.191379136
3.21;25;-2.589454569;-9.2032956;-3.075635928;-2.13519762
3.21;25;-4.09537035;-7.56401814;-20;-2.772483434
3.21;25;-7.511751818;-2.707759446;-5.22965632;-10.1592744
3.21;25;-6.01464053;-4.037612557;-2.420139185;-3.026912971
3.21;25;-8.889921479;-7.751411929;-6.254077305;-20
3.21;25;-15.51248615;-4.251427819;-3.67811674;-8.3625054
3.21;25;-20;-9.767450369;-2.46657174;-20
3.21;25;-15.22094759;-2.789221703;-5.595653494;-3.314010954
3.21;25;-9.779059101;-5.134714997;-2.910511124;-5.93744032
3.21;25;-20;-4.644630354;-4.302804625;-20
3.21;25;-8.476438723;-5.10629035;-3.222990194;-3.605207209
3.21;25;-20;-4.455857752;-5.887679319;-14.26997789
3.21;25;-10.10933007;-3.948531844;-4.381934282;-2.935917215
3.21;25;-11.28774997;-3.710110018;-2.864422197;-20
3.21;25;-20;-19.4140288;-2.460361385;-20
3.21;25;-6.466909173;-5.136390404;-3.696268656;-2.650960516
3.21;25;-4.38612488;-7.017574236;-3.050883334;-20
3.21;25;-20;-3.035282453;-2.780336251;-20
3.21;25;-20;-3.758886403;-2.705622113;-20
3.21;25;-4.28158095;-3.908261173;-3.160774446;-2.893178998
3.21;25;-4.273242177;-4.577958028;-3.866016335;-20
3.21;25;-4.480285279;-3.743452656;-3.585857424;-2.675456016
3.21;25;-20;-2.503026452;-4.112274573;-3.866969991
3.21;25;-11.2322055;-4.824447639;-2.109054431;-20
3.21;25;-5.388186348;-4.434034686;-20;-20
3.21;25;-5.411563829;-3.204899104;-2.729924687;-2.694195276
3.21;25;-6.919761871;-2.959483073;-2.877419429;-3.414379802
3.21;25;-20;-7.382517052;-2.783070664;-8.109734993
