L;n;alfa.MV;alfa.GA;alfa.LN;alfa.LC
3.21;9;-5.064382777;-2.391253402;-2.183483834;-2.836945862
3.21;9;-5.442953278;-3.679135094;-2.786728751;-4.01209735
3.21;9;-8.840138799;-2.835050604;-3.541942291;-20
3.21;9;-20;-5.535819266;-1.60623853;-20
3.21;9;-2.131944364;-2.285631868;-2.352357626;-2.204141776
3.21;9;-6.885356944;-2.63934632;-5.556037763;-3.737475827
3.21;9;-20;-8.932627101;-1.766278162;-20
3.21;9;-3.050866636;-1.939081653;-3.838206973;-1.947236747
3.21;9;-20;-5.692676555;-5.235187942;-20
3.21;9;-8.886590489;-4.985990608;-2.288185863;-20
3.21;9;-20;-5.99736723;-3.3900507;-4.400239457
3.21;9;-20;-2.640455767;-6.351114989;-8.1198755
3.21;9;-10.80951375;-8.892209683;-2.167569253;-5.335452012
3.21;9;-10.56453572;-3.672335532;-7.883163382;-20
3.21;9;-11.41363763;-2.729712319;-2.050309493;-4.297531907
3.21;9;-5.765055594;-1.646513579;-8.71419333;-2.976466696
3.21;9;-20;-3.674949388;-20;-4.73846256
3.21;9;-11.22690365;-5.071919866;-5.373901162;-20
3.21;9;-20;-4.697897884;-2.356192881;-20
3.21;9;-9.324833874;-2.006012943;-6.041826046;-3.568094412
3.21;9;-5.049841929;-20;-7.214163669;-20
3.21;9;-20;-4.904268946;-3.130189274;-7.88036963
3.21;9;-2.689218035;-5.252157629;-3.431496067;-3.437249819
3.21;9;-10.77175194;-2.781082008;-3.799439532;-2.760894852
3.21;9;-20;-7.165474018;-2.125427437;-5.997416947
3.21;9;-20;-8.023430042;-4.577305447;-3.607256558
3.21;9;-20;-3.930607259;-3.449720742;-20
3.21;9;-20;-2.268895179;-1.830088407;-4.177268319
3.21;9;-12.44899897;-3.443643672;-3.67261183;-20
3.21;9;-20;-20;-20;-6.618418919
3.21;9;-2.993468007;-2.945487923;-1.885444673;-1.829335025
3.21;9;-20;-20;-2.065483749;-20
3.21;9;-20;-20;-8.535495469;-20
3.21;9;-12.05708389;-3.336001549;-2.008083414;-4.656652918
3.21;9;-20;-4.7958675;-3.649719125;-20
3.21;9;-4.619505799;-4.701031044;-2.210587089;-2.117973405
