grilla,L,alfa,MV,alfa.GA,alfa.LN,alfa.LC
1.00E-04,8,-5,-3.503234096,-4.708591375,-2.705846345,-2.131401528
0.0101,8,-5,-3.74236029,-4.679467871,-3.239193733,-3.366876572
0.0201,8,-5,-3.954942886,-4.651119449,-3.370214372,-3.773876469
0.0301,8,-5,-4.148641832,-4.6223444,-3.402746303,-4.075195153
0.0401,8,-5,-4.328138357,-4.490211284,-3.416474233,-4.326119866
0.0501,8,-5,-4.496322349,-4.464146044,-3.408548355,-4.546326446
0.0601,8,-5,-4.65520472,-4.347869864,-3.402596846,-4.745343096
0.0701,8,-5,-4.806236476,-4.244579962,-3.398257413,-4.928602951
0.0801,8,-5,-4.950504196,-4.227709155,-3.395263056,-5.099520958
0.0901,8,-5,-5.08884569,-4.140203212,-3.393432495,-5.260454061
0.1001,8,-5,-5.221922364,-4.129049105,-3.3710999,-5.412980174
0.1101,8,-5,-5.350270564,-4.055471959,-3.371466771,-5.558301302
0.1201,8,-5,-5.474315779,-4.049414168,-3.35262416,-5.69735817
0.1301,8,-5,-5.59442578,-3.987567279,-3.335857866,-5.830844964
0.1401,8,-5,-5.710904732,-3.985830186,-3.338840578,-5.959354189
0.1501,8,-5,-5.824010526,-3.985557943,-3.32469111,-6.083287274
0.1601,8,-5,-5.933955361,-3.935454901,-3.312151093,-6.203065201
0.1701,8,-5,-6.04093674,-3.938537995,-3.317108447,-6.31898516
0.1801,8,-5,-6.145144793,-3.942817862,-3.306585063,-6.431308593
0.1901,8,-5,-6.246669536,-3.948229061,-3.312594812,-6.540257169
0.2001,8,-5,-6.345662077,-3.954723768,-3.30379898,-6.645970443
0.2101,8,-5,-6.442233971,-3.962255854,-3.310720174,-6.748711781
0.2201,8,-5,-6.53648416,-3.970782972,-3.3033992,-6.848562446
0.2301,8,-5,-6.628500766,-3.980259461,-3.311103634,-6.945649129
0.2401,8,-5,-6.718362582,-3.990647902,-3.319189839,-7.040087441
0.2501,8,-5,-6.80611042,-4.001911269,-3.327645549,-7.131974746
0.2601,8,-5,-6.891862956,-4.014014788,-3.336459251,-7.221397947
0.2701,8,-5,-6.975653447,-4.026932566,-3.331213234,-7.308434917
0.2801,8,-5,-7.057537621,-4.031664977,-3.334299851,-7.393156348
0.2901,8,-5,-7.137563346,-4.084290931,-3.351128426,-7.475626064
0.3001,8,-5,-7.215758392,-4.089074172,-3.353650323,-7.555902423
0.3101,8,-5,-7.292207699,-4.094407494,-3.356289934,-7.634038968
0.3201,8,-5,-7.366873188,-4.100246834,-3.359037416,-7.710085076
0.3301,8,-5,-7.439819455,-4.158839266,-3.361887108,-7.784086515
0.3401,8,-5,-7.511094816,-4.16587912,-3.364825709,-7.856085917
0.3501,8,-5,-7.580722001,-4.17333008,-3.367844836,-7.926132892
0.3601,8,-5,-7.648762399,-4.181157109,-3.386454394,-7.994246343
0.3701,8,-5,-7.715121007,-4.189401724,-3.389690428,-8.060470578
0.3801,8,-5,-7.77993396,-4.197787064,-3.39298859,-8.124839225
0.3901,8,-5,-7.843191647,-4.264727625,-3.396336942,-8.187384328
0.4001,8,-5,-7.90490726,-4.274229178,-3.399731111,-8.248136547
0.4101,8,-5,-7.965099554,-4.283959738,-3.403161036,-8.307125327
0.4201,8,-5,-8.023782616,-4.293876497,-3.406627211,-8.364379053
0.4301,8,-5,-8.080982154,-4.303960265,-3.410113991,-8.419925177
0.4401,8,-5,-8.136709054,-4.31417965,-3.430618081,-8.473790337
0.4501,8,-5,-8.190978919,-4.324508503,-3.434240782,-8.525997833
0.4601,8,-5,-8.243803938,-4.334921907,-3.437878153,-8.576574825
0.4701,8,-5,-8.295177944,-4.345396419,-3.441518681,-8.625547806
0.4801,8,-5,-8.345170171,-4.423914598,-3.445157216,-8.672948462
0.4901,8,-5,-8.393749413,-4.435134893,-3.448788934,-8.71878251
0.5001,8,-5,-8.440933094,-4.446355654,-3.452409272,-8.763084295
0.5101,8,-5,-8.486735685,-4.457553966,-3.456012009,-8.805876559
0.5201,8,-5,-8.531175614,-4.468710867,-3.459598242,-8.847181871
0.5301,8,-5,-8.574008362,-4.479808498,-3.463161548,-8.887022622
0.5401,8,-5,-8.615984032,-4.490830053,-3.46669521,-8.925421024
0.5501,8,-5,-8.656387131,-4.501759729,-3.470199192,-8.962399119
0.5601,8,-5,-8.695465535,-4.512582689,-3.492873342,-8.997978783
0.5701,8,-5,-8.733230379,-4.523285014,-3.496425013,-9.03218174
0.5801,8,-5,-8.769693394,-4.533853667,-3.499937558,-9.065029569
0.5901,8,-5,-8.804866318,-4.544276454,-3.503407248,-9.096543711
0.6001,8,-5,-8.83876075,-4.55453953,-3.506826884,-9.126745478
0.6101,8,-5,-8.871388153,-4.564638475,-3.510206199,-9.15565606
0.6201,8,-5,-8.902759956,-4.574559076,-3.513532741,-9.183296526
0.6301,8,-5,-8.932887575,-4.584292605,-3.516807514,-9.209687829
0.6401,8,-5,-8.961782514,-4.593846481,-3.520024966,-9.234850811
0.6501,8,-5,-8.98945636,-4.603169949,-3.523190726,-9.258806201
0.6601,8,-5,-9.015920847,-4.612289836,-3.526298313,-9.281574615
0.6701,8,-5,-9.041187863,-4.621195818,-3.52934737,-9.303176558
0.6801,8,-5,-9.065269461,-4.629879693,-3.532339217,-9.323632422
0.6901,8,-5,-9.088177866,-4.638334407,-3.535268233,-9.342962483
0.7001,8,-5,-9.109925516,-4.646549868,-3.538135094,-9.361186898
0.7101,8,-5,-9.130525012,-4.654541302,-3.540938734,-9.378325707
0.7201,8,-5,-9.149989163,-4.662283671,-3.543678182,-9.394394846
0.7301,8,-5,-9.168330998,-4.669780823,-3.546344153,-9.409417487
0.7401,8,-5,-9.185423913,-4.67702978,-3.527905017,-9.423414552
0.7501,8,-5,-9.201583833,-4.684027992,-3.530365284,-9.436405455
0.7601,8,-5,-9.216657788,-4.690773319,-3.532761105,-9.448409487
0.7701,8,-5,-9.230660265,-4.697264009,-3.535091984,-9.459445809
0.7801,8,-5,-9.243605881,-4.703498683,-3.537357491,-9.469533449
0.7901,8,-5,-9.255509322,-4.70947631,-3.53955726,-9.478691289
0.8001,8,-5,-9.266385435,-4.630567367,-3.541690983,-9.486988064
0.8101,8,-5,-9.276317466,-4.635788678,-3.54375841,-9.494342351
0.8201,8,-5,-9.285173052,-4.640770484,-3.545759344,-9.500822569
0.8301,8,-5,-9.293048512,-4.64551292,-3.547693639,-9.506446972
0.8401,8,-5,-9.299958822,-4.650016381,-3.549561198,-9.511233639
0.8501,8,-5,-9.305919133,-4.654281519,-3.551361969,-9.51520048
0.8601,8,-5,-9.310944826,-4.658309222,-3.553095945,-9.518365219
0.8701,8,-5,-9.315051444,-4.662100608,-3.554763157,-9.5207454
0.8801,8,-5,-9.318254691,-4.665657011,-3.556363679,-9.522358378
0.8901,8,-5,-9.320570429,-4.668979966,-3.557897621,-9.523221318
0.9001,8,-5,-9.322014646,-4.672071203,-3.559365127,-9.523351189
0.9101,8,-5,-9.322603447,-4.674932633,-3.560766375,-9.522764761
0.9201,8,-5,-9.322353074,-4.677566334,-3.562101576,-9.521478606
0.9301,8,-5,-9.321279824,-4.679974547,-3.542238987,-9.51950909
0.9401,8,-5,-9.319400118,-4.68215966,-3.543413728,-9.516872375
0.9501,8,-5,-9.316730435,-4.6841242,-3.544525642,-9.513584412
0.9601,8,-5,-9.313287303,-4.605396954,-3.545575027,-9.509660946
0.9701,8,-5,-9.309087305,-4.606891812,-3.546562205,-9.505117507
0.9801,8,-5,-9.304147073,-4.608294657,-3.547487519,-9.499969411
0.9901,8,-5,-9.298483236,-4.609447925,-3.548351332,-9.494231762
1.0001,8,-5,-9.292112463,-4.6104075,-3.549154024,-9.487919446
1.0101,8,-5,-9.285051396,-4.611176255,-3.549895996,-9.481047131
1.0201,8,-5,-9.27731669,-4.611755083,-3.550577665,-9.473579272
1.0301,8,-5,-9.268924942,-4.612149891,-3.551199465,-9.4656301
