alfa1.5,alfa3,alfa5,alfa8
0.031426080306950245,0.07282899469576025,0.09410686431840165,0.10789838517283087
0.046234803188383904,0.10534615613825603,0.13501782424190178,0.1540171502532253
0.05719548523067968,0.1287637981218264,0.16408866562678423,0.18651284186328873
0.06658330674141572,0.14841335181994394,0.18823932941477134,0.21333932227093294
0.07509812190853829,0.16592893358744848,0.20958681276854849,0.23692680869745333
0.08306290907691534,0.18206206440798844,0.2291032298757292,0.2583901778299911
0.09065793720655978,0.19723032522995512,0.24732783380715942,0.27834727988819324
0.09799616386207623,0.21169377787890684,0.2645957718059427,0.2971816831840926
0.10515425192820896,0.22562747100480982,0.28113204106310113,0.31515054159947076
0.11218743320089442,0.23915615819861732,0.29709645498788806,0.3324362000503832
0.11913742810068918,0.25237278168948646,0.31260757213723483,0.34917364774694376
0.12603701117212995,0.26534911700429353,0.3277564704768063,0.3654663163925697
0.13291280920368673,0.27814228776979666,0.34261517321183976,0.381395741019571
0.13978710303891562,0.2907989521848416,0.35724205978558765,0.3970277618482348
0.14667903658797551,0.3033581035292018,0.37168548238323273,0.4124166675134503
0.15360545723589233,0.31585300807946215,0.38598626551077614,0.42760805702226967
0.1605815185475162,0.32831258584984796,0.4001794839463721,0.44264087387595524
0.1676211249667395,0.3407624199748768,0.4142957594937851,0.45754888809375194
0.17473726881519833,0.3532255118923539,0.42836222807606933,0.47236179989364335
0.1819422923637398,0.36572285852128017,0.44240327567579735,0.48710607794977795
0.18924809694171443,0.3782739023599241,0.4564411089143348,0.501805607620584
0.19666631419337577,0.39089688938161826,0.47049620528442443,0.5164822007071469
0.2042084501338901,0.40360915915141155,0.48458767450970874,0.5311560027678867
0.21188600969915575,0.4164273846219512,0.4987335534783053,0.5458458236584058
0.2197106074861327,0.42936777433535117,0.512951051058377,0.560569409918376
0.2276940690141831,0.44244624648854736,0.52725675485386,0.5753436727456727
0.23584852589643507,0.45567858202861933,0.5416668089711306,0.5901848818623607
0.24418650766135044,0.46908056232118306,0.5561970697399597,0.6051088331257977
0.2527210325227386,0.4826680957762495,0.5708632448013042,0.6201309959688068
0.2614656991051262,0.49645733698707684,0.5856810198650739,0.6352666454642961
0.27043478095358126,0.5104648013478058,0.6006661766346622,0.6505309828657282
0.27964332556858196,0.5247074777034465,0.6158347048108299,0.6659392477822305
0.289107259691985,0.5392029413090876,0.631202910669739,0.6815068246413063
0.29884350262065457,0.5539694692055586,0.6467875244199434,0.6972493457280565
0.30887008943578725,0.5690261600373047,0.662605808354394,0.7131827928361554
0.319206306208307,0.5843930603330894,0.6786756677080118,0.7293235994007605
0.32987283947730645,0.6000912993348516,0.6950157660975209,0.7456887548923659
0.3408919426061935,0.6161432345925881,0.7116456474513159,0.7622959132238978
0.3522876220103776,0.6325726107453187,0.7285858664304973,0.7791635069558677
0.3640858467354904,0.6494047341855608,0.7458581294986915,0.7963108691744153
0.37631478546561836,0.6666666666666666,0.763485449022091,0.8137583650660168
0.38900507578217347,0.6843874413725,0.7814923130799731,0.8315275354250201
0.4021901314087513,0.702598305545959,0.7999048740512593,0.8496412546137541
0.4159064943083098,0.7213329944916527,0.818751159530456,0.8681239058611829
0.4301942399016628,0.7406280426612951,0.8380613097380305,0.8870015772507327
0.4450974454228316,0.7605231386408359,0.8578678463543375,0.9063022823322309
0.460664733611796,0.7810615322418696,0.8782059786599604,0.9260562100249589
0.476949906693202,0.802290503629771,0.899113954057839,0.9462960093956942
0.4940126890658061,0.8242619065938576,0.9206334615484424,0.967057116046172
0.5119196015525438,0.847032800808749,0.9428100986140416,0.9883781282933063
0.5307449957322385,0.8706661914219267,0.9656939143557248,1.010301243158808
0.5505722841946019,0.8952318987603434,0.9893400447699019,1.0328727645176958
0.5714954120831708,0.9208075866909496,1.013809459956177,1.0561436987431034
