grilla,L,alfa,MV,alfa.GA,alfa.LN,alfa.LC
3.6001,8,-8,-6.944332101,-4.102257457,-4.304050141,-6.792938094
3.6101,8,-8,-6.928293803,-4.094004008,-4.291601879,-6.773285677
3.6201,8,-8,-6.912358386,-4.085806019,-4.279234077,-6.753750205
3.6301,8,-8,-6.89652481,-4.077663218,-4.266945952,-6.734331814
3.6401,8,-8,-6.880792053,-4.069574709,-4.25473673,-6.715029573
3.6501,8,-8,-6.865159105,-4.061540023,-4.368772052,-6.695842558
3.6601,8,-8,-6.849624968,-4.053558596,-4.356458824,-6.676769854
3.6701,8,-8,-6.834188662,-4.04562987,-4.344223127,-6.657810554
3.6801,8,-8,-6.81884921,-4.037753294,-4.33206389,-6.638963757
3.6901,8,-8,-6.803605657,-4.029928325,-4.31998049,-6.620228574
3.7001,8,-8,-6.788457058,-4.022154428,-4.307972206,-6.601604121
3.7101,8,-8,-6.773402476,-4.014431074,-4.296038328,-6.583139523
3.7201,8,-8,-6.758440987,-4.00675774,-4.284178153,-6.564733912
3.7301,8,-8,-6.743571683,-3.999133912,-4.272390992,-6.546436428
3.7401,8,-8,-6.728793665,-3.991559081,-4.260676163,-6.528246219
3.7501,8,-8,-6.714106043,-3.984032747,-4.249032994,-6.510162442
3.7601,8,-8,-6.69950794,-3.976554414,-4.237460822,-6.492184258
3.7701,8,-8,-6.684998492,-3.969123593,-4.225958995,-6.47431084
3.7801,8,-8,-6.670576844,-3.961739803,-4.214526868,-6.456541364
3.7901,8,-8,-6.656242154,-4.079883891,-4.203163807,-6.438875018
3.8001,8,-8,-6.641993586,-4.072266236,-4.191869184,-6.421310993
3.8101,8,-8,-6.627830316,-4.064695525,-4.307919978,-6.40384849
3.8201,8,-8,-6.613751533,-4.057171279,-4.296521567,-6.386486717
3.8301,8,-8,-6.599756436,-4.049693024,-4.285190169,-6.369224889
3.8401,8,-8,-6.585844229,-4.042260296,-4.273925213,-6.352062227
3.8501,8,-8,-6.57201413,-4.034872633,-4.262726046,-6.33499796
3.8601,8,-8,-6.558265367,-4.02752958,-4.251592112,-6.318031326
3.8701,8,-8,-6.544597174,-4.020230691,-4.240522837,-6.301161566
3.8801,8,-8,-6.5310088,-4.012975523,-4.229517649,-6.284387931
3.8901,8,-8,-6.517499498,-4.005763638,-4.218575989,-6.267709677
3.9001,8,-8,-6.50406853,-3.998594607,-4.207697302,-6.251126069
3.9101,8,-8,-6.490715172,-3.991468005,-4.196881042,-6.234636377
3.9201,8,-8,-6.477438702,-3.984383411,-4.186126668,-6.218239878
3.9301,8,-8,-6.464238415,-3.977340412,-4.17543365,-6.201935855
3.9401,8,-8,-6.451113605,-3.970338599,-4.164801462,-6.1857236
3.9501,8,-8,-6.438063584,-3.96337757,-4.154229586,-6.16960241
3.9601,8,-8,-6.425087664,-3.956456925,-4.143717509,-6.153571587
3.9701,8,-8,-6.41218517,-3.949576273,-4.133264728,-6.137630441
3.9801,8,-8,-6.399355435,-3.942735225,-4.251573707,-6.12177829
3.9901,8,-8,-6.386597796,-3.935933399,-4.241016975,-6.106014454
4.0001,8,-8,-6.373911602,-3.929170417,-4.230518256,-6.090338264
4.0101,8,-8,-6.361296211,-3.922445907,-4.220077067,-6.074749054
4.0201,8,-8,-6.348750982,-3.915759499,-4.209692931,-6.059246165
4.0301,8,-8,-6.336275287,-3.909110832,-4.199365376,-6.043828945
4.0401,8,-8,-6.323868503,-3.902499546,-4.189093936,-6.028496746
4.0501,8,-8,-6.311530018,-3.895925287,-4.178878154,-6.013248927
4.0601,8,-8,-6.299259221,-3.889387707,-4.168717576,-5.998084855
4.0701,8,-8,-6.287055511,-3.882886459,-4.158611753,-5.983006431
4.0801,8,-8,-6.274918297,-3.876421203,-4.148560245,-5.968015527
4.0901,8,-8,-6.26284699,-3.869991604,-4.138562615,-5.953105591
4.1001,8,-8,-6.250841008,-3.863597328,-4.128618431,-5.938276078
4.1101,8,-8,-6.238899783,-3.857238049,-4.118727269,-5.923476449
