grilla,L,alfa,MV,alfa.GA,alfa.LN,alfa.LC
1.00E-04,3,-8,-14.75093787,-6.972421348,-1.900107167,-2.364434101
0.0101,3,-8,-15.2354656,-6.44116624,-3.935835356,-4.40961991
0.0201,3,-8,-15.73272629,-6.235232536,-4.650605761,-5.273055939
0.0301,3,-8,-16.2440543,-6.184665925,-4.799064375,-5.994333614
0.0401,3,-8,-16.77039201,-6.039865639,-4.654415118,-6.657896143
0.0501,3,-8,-17.31197118,-6.016239467,-4.40263579,-7.294570507
0.0601,3,-8,-17.87021886,-5.999731602,-4.206069136,-7.919726627
0.0701,3,-8,-18.44628825,-5.98893219,-4.058076413,-8.542562792
0.0801,3,-8,-19.04100581,-5.889050534,-4.0498291,-9.169254882
0.0901,3,-8,-19.65564316,-5.888326417,-3.962094973,-9.804365548
0.1001,3,-8,-20,-5.891014919,-3.990037855,-10.45146833
0.1101,3,-8,-20,-5.987504377,-4.028094177,-11.11354823
0.1201,3,-8,-20,-5.995337353,-4.07293739,-11.79326877
0.1301,3,-8,-20,-6.005860613,-4.12224395,-12.4929906
0.1401,3,-8,-20,-6.018890058,-4.174483042,-13.21503132
0.1501,3,-8,-20,-6.03422388,-4.125492455,-13.96158124
0.1601,3,-8,-20,-6.051786564,-4.179036372,-14.73482358
0.1701,3,-8,-20,-6.166323557,-4.233523388,-15.53693281
0.1801,3,-8,-20,-6.167394188,-4.264631751,-16.37019661
0.1901,3,-8,-20,-6.169715042,-4.294709173,-17.23688703
0.2001,3,-8,-20,-6.173634663,-4.324341045,-18.13945385
0.2101,3,-8,-20,-6.179119014,-4.353462571,-19.08031336
0.2201,3,-8,-20,-6.286348061,-4.382036881,-20
0.2301,3,-8,-20,-6.294735029,-4.410042759,-20
0.2401,3,-8,-20,-6.304441869,-4.437470025,-20
0.2501,3,-8,-20,-6.315371853,-4.464315785,-20
0.2601,3,-8,-20,-6.32743554,-4.490582032,-20
0.2701,3,-8,-20,-6.449668005,-4.516273987,-20
0.2801,3,-8,-20,-6.46442952,-4.541398975,-20
0.2901,3,-8,-20,-6.480174159,-4.565965628,-20
0.3001,3,-8,-20,-6.496829388,-4.714170918,-20
0.3101,3,-8,-20,-6.514327294,-4.738881104,-20
0.3201,3,-8,-20,-6.532604165,-4.763050591,-20
0.3301,3,-8,-20,-6.551600122,-4.786688954,-20
0.3401,3,-8,-20,-6.571258788,-4.809805613,-20
0.3501,3,-8,-20,-6.716642848,-4.832409767,-20
0.3601,3,-8,-20,-6.738792204,-4.854510353,-20
0.3701,3,-8,-20,-6.761504385,-4.876116025,-20
0.3801,3,-8,-20,-6.784730529,-4.897235152,-20
0.3901,3,-8,-20,-6.80842427,-5.06053416,-20
0.4001,3,-8,-20,-6.832541552,-5.08191364,-20
0.4101,3,-8,-20,-6.857040463,-5.102815869,-20
0.4201,3,-8,-20,-6.881881078,-5.123247817,-20
0.4301,3,-8,-20,-6.907025326,-5.143216241,-20
0.4401,3,-8,-20,-6.932436858,-5.162727707,-20
0.4501,3,-8,-20,-6.958080941,-5.181788609,-20
0.4601,3,-8,-20,-6.983924349,-5.200405183,-20
0.4701,3,-8,-20,-7.009935267,-5.218583526,-20
0.4801,3,-8,-20,-7.036083213,-5.236329609,-20
0.4901,3,-8,-20,-7.06233895,-5.253649291,-20
0.5001,3,-8,-20,-7.088674421,-5.270548333,-20
0.5101,3,-8,-20,-7.115062682,-5.287032405,-20
0.5201,3,-8,-20,-7.30667079,-5.3031071,-20
0.5301,3,-8,-20,-7.335072181,-5.486803661,-20
0.5401,3,-8,-20,-7.363457068,-5.503152702,-20
0.5501,3,-8,-20,-7.391800307,-5.519089647,-20
0.5601,3,-8,-20,-7.420077679,-5.534619613,-20
0.5701,3,-8,-20,-7.448265855,-5.549747693,-20
0.5801,3,-8,-20,-7.476342356,-5.56447895,-20
0.5901,3,-8,-20,-7.504285515,-5.578818432,-20
0.6001,3,-8,-20,-7.532074449,-5.592771165,-20
0.6101,3,-8,-20,-7.559689026,-5.606342161,-20
0.6201,3,-8,-20,-7.587109839,-5.619536418,-20
0.6301,3,-8,-20,-7.427389562,-5.63235892,-20
0.6401,3,-8,-20,-7.452434273,-5.644814643,-20
0.6501,3,-8,-20,-7.47724591,-5.656908546,-20
0.6601,3,-8,-20,-7.50180925,-5.668645583,-20
0.6701,3,-8,-20,-7.526109644,-5.680030693,-20
0.6801,3,-8,-20,-7.550133001,-5.691068803,-20
0.6901,3,-8,-20,-7.573865773,-5.701764831,-20
0.7001,3,-8,-20,-7.597294944,-5.71212368,-20
0.7101,3,-8,-20,-7.620408014,-5.722150238,-20
0.7201,3,-8,-20,-7.643192991,-5.546796958,-20
0.7301,3,-8,-20,-7.665638375,-5.555483987,-20
0.7401,3,-8,-20,-7.687733154,-5.563874108,-20
0.7501,3,-8,-20,-7.709466785,-5.571972091,-20
0.7601,3,-8,-20,-7.730829196,-5.579782671,-20
0.7701,3,-8,-20,-7.751810765,-5.58731055,-20
0.7801,3,-8,-20,-7.772402321,-5.594560397,-20
0.7901,3,-8,-20,-7.792595132,-5.601536843,-20
0.8001,3,-8,-20,-7.812380897,-5.608244482,-20
0.8101,3,-8,-20,-7.831751738,-5.614687871,-20
0.8201,3,-8,-20,-7.850700192,-5.620871525,-20
0.8301,3,-8,-20,-7.869219209,-5.62679992,-20
0.8401,3,-8,-20,-7.887302138,-5.632477489,-20
0.8501,3,-8,-20,-7.904942723,-5.637908623,-20
0.8601,3,-8,-20,-7.922135096,-5.643097666,-20
0.8701,3,-8,-20,-7.938873773,-5.648048919,-20
0.8801,3,-8,-20,-7.746838919,-5.652766637,-20
0.8901,3,-8,-20,-7.76157527,-5.657255024,-20
0.9001,3,-8,-20,-7.775879069,-5.661518239,-20
0.9101,3,-8,-20,-7.7897467,-5.665560391,-20
0.9201,3,-8,-20,-7.80317487,-5.669385538,-20
0.9301,3,-8,-20,-7.816160589,-5.672997688,-20
0.9401,3,-8,-20,-7.82870117,-5.676400798,-20
0.9501,3,-8,-20,-7.840794224,-5.67959877,-20
0.9601,3,-8,-20,-7.85243765,-5.499211115,-20
0.9701,3,-8,-20,-7.863629629,-5.501814489,-20
0.9801,3,-8,-20,-7.874368623,-5.504239544,-20
0.9901,3,-8,-20,-7.884653361,-5.506489764,-20
1.0001,3,-8,-20,-7.89448284,-5.508568578,-20
1.0101,3,-8,-20,-7.903856313,-5.51047936,-20
1.0201,3,-8,-20,-7.912773288,-5.512225427,-20
1.0301,3,-8,-20,-7.921233516,-5.513810039,-20
1.0401,3,-8,-20,-7.92923699,-5.515236405,-20
1.0501,3,-8,-20,-7.936783935,-5.516507673,-20
1.0601,3,-8,-20,-7.740328708,-5.517626942,-20
1.0701,3,-8,-20,-7.746595203,-5.51859725,-20
1.0801,3,-8,-20,-7.752441009,-5.519421585,-20
1.0901,3,-8,-20,-7.757867117,-5.520102879,-20
1.1001,3,-8,-20,-7.762874699,-5.520644011,-20
1.1101,3,-8,-20,-7.767465104,-5.521047805,-20
1.1201,3,-8,-20,-7.77163985,-5.521317034,-20
1.1301,3,-8,-20,-7.775400624,-5.521454418,-20
1.1401,3,-8,-20,-7.77874927,-5.521462625,-20
1.1501,3,-8,-20,-7.781687787,-5.348429957,-20
1.1601,3,-8,-20,-7.784218324,-5.348246017,-20
1.1701,3,-8,-20,-7.786343176,-5.347950839,-20
1.1801,3,-8,-20,-7.788064775,-5.347546711,-20
1.1901,3,-8,-20,-7.78938569,-5.347035874,-20
1.2001,3,-8,-20,-7.790308616,-5.346420521,-20
1.2101,3,-8,-20,-7.790836376,-5.345702802,-20
1.2201,3,-8,-20,-7.790971912,-5.344884821,-20
1.2301,3,-8,-20,-7.79071828,-5.343968636,-20
1.2401,3,-8,-20,-7.790078647,-5.342956265,-20
1.2501,3,-8,-20,-7.789056289,-5.34184968,-20
1.2601,3,-8,-20,-7.78765458,-5.340650815,-20
1.2701,3,-8,-20,-7.597719277,-5.33936156,-20
1.2801,3,-8,-20,-7.595826165,-5.337983766,-20
1.2901,3,-8,-20,-7.593589512,-5.336519243,-20
1.3001,3,-8,-20,-7.591012693,-5.334969765,-20
1.3101,3,-8,-20,-7.588099157,-5.333337066,-20
1.3201,3,-8,-20,-7.584852428,-5.331622844,-20
1.3301,3,-8,-20,-7.581276091,-5.329828759,-20
1.3401,3,-8,-20,-7.577373799,-5.327956437,-20
1.3501,3,-8,-20,-7.573149267,-5.326007469,-20
1.3601,3,-8,-20,-7.568606267,-5.164661033,-20
1.3701,3,-8,-20,-7.563748624,-5.162779128,-20
1.3801,3,-8,-20,-7.558580219,-5.160831315,-20
1.3901,3,-8,-20,-7.553104982,-5.158818932,-20
1.4001,3,-8,-20,-7.547326885,-5.156743292,-20
1.4101,3,-8,-20,-7.541249952,-5.154605677,-20
1.4201,3,-8,-20,-7.534878242,-5.152407342,-20
1.4301,3,-8,-20,-7.528215858,-5.150149514,-20
1.4401,3,-8,-20,-7.521266938,-5.147833397,-20
1.4501,3,-8,-20,-7.514035652,-5.145460165,-20
1.4601,3,-8,-20,-7.506526207,-5.14303097,-20
1.4701,3,-8,-20,-7.498742837,-5.140546939,-20
1.4801,3,-8,-20,-7.490689804,-5.138009175,-20
1.4901,3,-8,-20,-7.482371395,-5.135418758,-20
1.5001,3,-8,-20,-7.473791923,-5.132776745,-20
1.5101,3,-8,-20,-7.46495572,-5.130084174,-20
1.5201,3,-8,-20,-7.455867138,-5.127342057,-20
1.5301,3,-8,-20,-7.446530549,-5.124551391,-20
1.5401,3,-8,-20,-7.436950338,-5.121713147,-20
1.5501,3,-8,-20,-7.427130904,-5.118828282,-20
1.5601,3,-8,-20,-7.417076657,-5.115897729,-20
