L,grilla,alfa,MV,alfa.GA,alfa.LN,alfa.LC
3,2.4401,-5,-9.988704506,-5.012493305,-4.363376457,-9.613524238
3,2.4501,-5,-9.925710362,-4.99679718,-4.354737688,-9.572723429
3,2.4601,-5,-9.863539986,-4.981247739,-4.346173252,-9.532227821
3,2.4701,-5,-9.802181838,-4.965843201,-4.337687964,-9.492035303
3,2.4801,-5,-9.741624293,-4.995614869,-4.329261632,-9.452093827
3,2.4901,-5,-9.681815761,-4.980024078,-4.335795772,-9.412501415
3,2.5001,-5,-9.622837188,-4.964579115,-4.327341979,-9.373202954
3,2.5101,-5,-9.564622514,-4.949283646,-4.318960022,-9.334187185
3,2.5201,-5,-9.507159906,-4.934114621,-4.310647611,-9.295461165
3,2.5301,-5,-9.450455064,-4.919093239,-4.302403273,-9.257022534
3,2.5401,-5,-9.394381098,-4.904210068,-4.294230269,-9.218868939
3,2.5501,-5,-9.339164892,-4.889470462,-4.300529689,-9.180998041
3,2.5601,-5,-9.284601838,-4.874851633,-4.292318624,-9.143407508
3,2.5701,-5,-9.230729617,-4.86037215,-4.284175992,-9.106095024
3,2.5801,-5,-9.177535846,-4.889105958,-4.276101109,-9.069058283
3,2.5901,-5,-9.124905292,-4.874454314,-4.268093329,-9.032294994
3,2.6001,-5,-9.073165242,-4.859910026,-4.26015185,-8.995802881
3,2.6101,-5,-9.021988309,-4.845507616,-4.266221004,-8.959579685
3,2.6201,-5,-8.971411029,-4.831241704,-4.258236297,-8.923623164
3,2.6301,-5,-8.92148299,-4.817101286,-4.250319116,-8.887931096
3,2.6401,-5,-8.872152083,-4.803088455,-4.242467369,-8.852501281
3,2.6501,-5,-8.823506353,-4.789202593,-4.234679842,-8.817331544
3,2.6601,-5,-8.775427162,-4.77543579,-4.226955828,-8.782419735
3,2.6701,-5,-8.727947446,-4.761790529,-4.219294626,-8.747763736
3,2.6801,-5,-8.681066976,-4.748274082,-4.225025132,-8.713361461
3,2.6901,-5,-8.634714304,-4.775816062,-4.21732137,-8.679210866
3,2.7001,-5,-8.588958159,-4.762115029,-4.209679825,-8.645300227
3,2.7101,-5,-8.543759969,-4.748534265,-4.202099838,-8.61164391
3,2.7201,-5,-8.498929548,-4.73507332,-4.194580761,-8.578232527
3,2.7301,-5,-8.455050739,-4.721730879,-4.187121957,-8.54506402
3,2.7401,-5,-8.411417783,-4.708505878,-4.179722803,-8.512136357
3,2.7501,-5,-8.368374329,-4.695396971,-4.185122635,-8.479445976
3,2.7601,-5,-8.325854088,-4.682402833,-4.177679214,-8.446990337
3,2.7701,-5,-8.283807921,-4.669505712,-4.170294977,-8.414768882
3,2.7801,-5,-8.242280444,-4.656745749,-4.162972483,-8.382779574
3,2.7901,-5,-8.201248414,-4.644096304,-4.155701648,-8.35102039
3,2.8001,-5,-8.160699679,-4.631549989,-4.148491369,-8.319489322
3,2.8101,-5,-8.120628452,-4.657800589,-4.14133832,-8.288184381
3,2.8201,-5,-8.081027241,-4.645074582,-4.146413675,-8.257103589
3,2.8301,-5,-8.041888593,-4.63246088,-4.139214388,-8.226244987
3,2.8401,-5,-8.003205152,-4.619948722,-4.132071487,-8.19560663
3,2.8501,-5,-7.964969698,-4.607548585,-4.124984409,-8.165186591
3,2.8601,-5,-7.927175105,-4.595254984,-4.117952604,-8.134982955
3,2.8701,-5,-7.889814438,-4.583066766,-4.110975522,-8.104993826
3,2.8801,-5,-7.852880871,-4.570982809,-4.104052623,-8.075217323
3,2.8901,-5,-7.816421574,-4.559002001,-4.097184622,-8.045651579
3,2.9001,-5,-7.780359096,-4.54712322,-4.101841084,-8.016294744
3,2.9101,-5,-7.744551399,-4.53534534,-4.094924824,-7.987144984
3,2.9201,-5,-7.709264736,-4.523667235,-4.088066162,-7.95820048
3,2.9301,-5,-7.67437433,-4.512087805,-4.081252558,-7.929459429
3,2.9401,-5,-7.639876735,-4.537010434,-4.07449474,-7.900910636
3,2.9501,-5,-7.605769664,-4.525256787,-4.067785496,-7.872571482
