L,alfa,n,alfa.MV,alfa.DT.GA.BFGS,alfa.DT.LN.BFGS,alfa.LC,tiempo.MV,tiempo.BFGS.GA,tiempo.BFGS.LN,tiempo.LC,b.GA,b.LN
8,-1.5,9,-1.536770873,-1.65238005,-1.410499012,-1.753046439,0,4.52,1.19,0,0.245415191,0.78226092
8,-1.5,9,-2.223265474,-2.050035697,-1.783312944,-2.402238096,0,2.28,1.36,0,0.285304992,0.697412202
8,-1.5,9,-3.341197051,-3.106515865,-2.202609827,-4.06346183,0,2.75,2.1,0,0.562969371,0.744572394
8,-1.5,9,-2.874332294,-2.968539497,-2.061795039,-3.569675182,0.02,2.61,2.18,0,0.583111857,0.750977392
8,-1.5,9,-2.170268385,-1.792586626,-1.871105376,-2.435661637,0.01,3.02,2.31,0,0.113976469,0.506562086
8,-1.5,9,-1.222610136,-1.154790308,-1.203058901,-1.22642618,0,3.66,1.26,0.02,0.03489528,0.244266962
8,-1.5,9,-1.437014757,-1.369209969,-1.570506422,-1.673760169,0.01,5.33,0.99,0,0.018602139,0.316236367
8,-1.5,9,-2.153627532,-1.873712906,-1.785658992,-2.306057758,0,2.38,1.22,0,0.189949407,0.642905686
8,-1.5,9,-3.890495699,-3.041794231,-3.847049017,-4.300827771,0,3.11,1.64,0,0.039473011,0.063156818
8,-1.5,9,-1.270161526,-1.230353204,-1.21018881,-1.357729385,0,3.99,6.94,0,0.11548016,0.715976993
8,-1.5,9,-2.899057135,-2.551923944,-2.040412165,-3.230816968,0,2.44,1.76,0,0.393957723,0.701737194
8,-1.5,9,-1.429695298,-1.68552633,-1.338745666,-1.710073888,0.02,2.14,1.72,0,0.247592178,0.786469272
8,-1.5,9,-2.170978122,-1.91585358,-1.830630714,-2.552881299,0.01,3.63,2.55,0,0.147890354,0.546056692
8,-1.5,9,-2.348747203,-1.990903239,-1.880552257,-2.907213697,0.01,4.39,1.21,0,0.047115558,0.671396707
8,-1.5,9,-1.275132709,-1.17728827,-1.217571952,-1.334168948,0,3.67,1.68,0,0.064695929,0.560698054
8,-1.5,9,-1.276108022,-1.185728169,-1.22394982,-1.339302293,0.02,4.09,1.68,0,0.046999867,0.540498474
8,-1.5,9,-2.567264314,-2.163173808,-1.994250352,-2.606638623,0,2.33,1.09,0,0.257605963,0.618254312
8,-1.5,9,-2.354177522,-2.650628944,-1.85242358,-2.876407223,0,1.81,1.25,0,0.57746859,0.774053642
8,-1.5,9,-2.57609167,-2.058253277,-2.083414379,-2.729900609,0,2.56,1.2,0,0.1581537,0.540358475
8,-1.5,9,-6.252999902,-3.754479488,-3.455609989,-6.951394289,0.02,2.7,2.17,0,0.341406835,0.469434398
8,-1.5,9,-1.175406028,-1.139160992,-1.141520152,-1.191510904,0,3.48,1.44,0,0.073036279,0.620808369
8,-1.5,9,-2.890898331,-3.066820206,-2.356392815,-3.623836395,0,1.94,1.9,0,0.471859007,0.422189638
8,-1.5,9,-2.236886183,-2.793586294,-1.92513529,-2.884859711,0.02,1.72,1.47,0,0.628263728,0.833657639
8,-1.5,9,-1.806491605,-2.025658289,-1.568651278,-2.076539255,0,2.02,1.15,0,0.378793258,0.823463603
8,-1.5,9,-3.546013903,-2.596630102,-4.50646191,-3.539395598,0,2.58,2.42,0,0.152411991,0.041566907
8,-1.5,9,-1.814943233,-1.635025398,-1.580145986,-2.077278452,0,2.89,1.17,0,0.158136823,0.644711664
8,-1.5,9,-3.596918091,-3.130458157,-2.296259715,-4.312638884,0,2.97,1.99,0,0.522863453,0.669632142
8,-1.5,9,-2.182655336,-2.229090367,-1.757336218,-2.462284471,0,1.8,1.42,0,0.387459406,0.730211957
8,-1.5,9,-1.582266885,-2.481916738,-1.72504009,-2.085199785,0,1.38,1.86,0,0.706067258,0.974372816
8,-1.5,9,-4.215128587,-20,-20,-5.019295682,0,1.81,0.95,0,0.023346507,0.140079043
8,-1.5,9,-1.794581497,-2.406377669,-1.611535464,-2.233244477,0.02,1.69,1.48,0,0.604561942,0.934323001
8,-1.5,9,-2.946163476,-2.816865179,-2.049222073,-3.503576965,0.02,2.5,1.45,0,0.538773626,0.721956659
8,-1.5,9,-1.434039071,-1.545592305,-1.355954999,-1.542732887,0.02,2.14,1.1,0,0.280220555,0.86613626
8,-1.5,9,-1.443445419,-1.320916984,-1.351327814,-1.555279666,0,2.34,0.91,0,0.080385742,0.562700194
8,-1.5,9,-3.994747918,-3.101107072,-2.370795735,-4.514439793,0,2.98,1.68,0,0.475232206,0.686446519
8,-1.5,9,-1.263926551,-1.174904139,-1.211487535,-1.311909047,0,6.31,4.04,0,0.051194807,0.563142873
8,-1.5,9,-1.548703921,-2.080079996,-1.465458461,-1.867427983,0,1.5,1.53,0,0.46375993,0.927519859
8,-1.5,9,-1.554372806,-1.413865455,-1.543880675,-1.559265359,0,3.39,1.13,0,0.027276422,0.190934954
8,-1.5,9,-2.016507166,-2.15395794,-1.682952451,-2.416086976,0.01,2.19,1.37,0,0.29551491,0.689534791
8,-1.5,9,-1.684948702,-1.523700746,-1.537923057,-1.681206561,0,2.17,0.59,0,0.17791501,0.55916146
8,-1.5,9,-1.452744392,-1.470894175,-1.433504904,-1.520776887,0,13.37,0.83,0,0.214090944,0.26761368
8,-1.5,9,-1.605530706,-1.443883648,-1.546179538,-1.732787242,0,3.92,0.84,0,0.035280577,0.352805773
8,-1.5,9,-3.121390408,-2.399450627,-2.632199127,-3.975289377,0,4.62,1.72,0,0.052669273,0.316015639
8,-1.5,9,-8.429593592,-4.112608129,-4.06559982,-9.04475053,0,4.23,1.39,0,0.212962228,0.469985606
8,-1.5,9,-3.56525848,-2.906863151,-2.321051703,-3.931727891,0.03,2.52,1.48,0,0.388693759,0.643774038
8,-1.5,9,-1.300556417,-1.231978817,-1.235969714,-1.382183021,0,16.67,1.71,0,0.122573167,0.674152416
8,-1.5,9,-1.791567697,-1.782497042,-1.776598507,-2.018793211,0.02,2.03,1.32,0,0.249277721,0.205287535
8,-1.5,9,-3.743761957,-2.629062846,-2.826542363,-3.470292298,0.02,2.4,0.96,0,0.160301752,0.464875081
8,-1.5,9,-1.420583524,-1.86722241,-1.36428577,-1.680601567,0,1.53,1.56,0,0.359493164,0.862783594
8,-1.5,9,-2.238993211,-2.672667479,-1.803918164,-2.797845707,0,1.88,1.39,0,0.614349397,0.815601786
8,-1.5,9,-1.870102792,-1.658376546,-1.643063813,-2.100850241,0.01,3.26,1.19,0,0.10944029,0.574561522
8,-1.5,9,-3.052263852,-2.465599011,-2.14921423,-3.208759611,0,2.58,1.62,0,0.310696087,0.649637274
8,-1.5,9,-2.959946797,-2.782908814,-2.304647129,-3.509559784,0,2.55,1.52,0,0.36227886,0.492327682
8,-1.5,9,-1.317183597,-1.23695516,-1.263910509,-1.354544352,0,3.11,1.2,0,0.087379259,0.553401975
8,-1.5,9,-1.579986977,-1.4388627,-1.568351532,-1.754730392,0.02,3.42,1.25,0,0.018355212,0.146841696
8,-1.5,9,-7.640669657,-20,-20,-7.017367694,0,1.56,0.88,0,0.018020128,0.126140893
8,-1.5,9,-2.517812055,-2.420528489,-2.527783905,-2.552105849,0.01,2.43,0.81,0,0.01463942,0.161033616
8,-1.5,9,-1.405040508,-1.302301011,-1.314822169,-1.53701568,0,2.42,0.75,0,0.094125174,0.602401113
8,-1.5,9,-1.679377108,-2.048985046,-1.511686321,-1.979820232,0.02,1.75,1.61,0,0.321016137,0.760301377
8,-1.5,9,-3.597072914,-2.595153879,-2.911498653,-3.483206846,0,2.2,1.03,0,0.115067216,0.417118657
8,-1.5,9,-3.735769627,-2.647561264,-2.888898248,-3.791606828,0,2.94,0.87,0,0.116148586,0.441364627
8,-1.5,9,-20,-16.96733426,-20,0,0,3.75,1.55,0,0.109169508,0.180129688
8,-1.5,9,-2.582519324,-2.701555289,-1.911439505,-3.112410684,0,2.08,1.17,0,0.55351541,0.774921574
8,-1.5,9,-5.703546934,-3.52060437,-3.751849007,-5.943835137,0,3.49,1.36,0,0.133455029,0.428962593
8,-1.5,9,-1.47391281,-1.439418451,-1.354490735,-1.620256532,0,2.9,1.13,0,0.155315917,0.737750608
8,-1.5,9,-3.310470138,-2.695679326,-3.259805305,-3.97153966,0.01,5.25,1.89,0,0.007391212,0.081303337
8,-1.5,9,-2.002694139,-1.712439901,-1.749222062,-2.089759809,0.02,2.29,1.98,0,0.154707248,0.550070216
8,-1.5,9,-1.867534117,-1.804628163,-1.619927602,-2.052263115,0,2.23,1.28,0,0.234419807,0.636282333
8,-1.5,9,-1.687670282,-1.673012567,-1.527014581,-1.749756856,0,1.72,1,0,0.268721611,0.757306357
8,-1.5,9,-1.400859761,-1.282200813,-1.36366903,-1.457130213,0,5.94,1.18,0,0.067464983,0.224883276
8,-1.5,9,-6.783988216,-3.610241113,-3.434335648,-7.177314626,0,4.37,1.98,0,0.255114392,0.519340011
8,-1.5,9,-3.788969581,-3.941424715,-4.475019119,-4.336905875,0,3.03,1.05,0,0.009780958,0.136933414
8,-1.5,9,-1.215583608,-1.154501323,-1.182354904,-1.249518172,0.01,4.75,5.56,0,0.033221843,0.531549482
8,-1.5,9,-9.84491368,-4.32265761,-6.437025635,-8.650195979,0,4.78,1.47,0,0.354125459,0.361823839
8,-1.5,9,-1.374826536,-1.276817208,-1.304023828,-1.414740797,0,3.28,1.09,0,0.083121225,0.581848577
8,-1.5,9,-2.380108505,-2.822763899,-1.931051694,-3.026137198,0,1.72,1.75,0,0.575206849,0.664463084
8,-1.5,9,-8.273579453,-7.446329525,-8.063456691,-8.383144472,0,1.98,0.86,0,0.020714195,0.113928074
8,-1.5,9,-1.270763,-1.205567151,-1.219792912,-1.31330979,0,3.81,2.86,0,0.062240917,0.622409167
8,-1.5,9,-1.988907134,-1.801037943,-1.928965596,-2.044947959,0,3.07,0.93,0,0.020433577,0.265636505
8,-1.5,9,-20,-20,-20,0,0,3.61,1.87,0,0.012209232,0.103778473
8,-1.5,9,-3.977744462,-3.070268351,-2.475894847,-4.562103637,0,2.97,1.59,0,0.419730962,0.602222685
8,-1.5,9,-1.539723148,-1.561233977,-1.406098836,-1.652611887,0,2,1.44,0,0.22473682,0.719157825
8,-1.5,9,-1.137000997,-1.096310665,-1.120443696,-1.154600868,0.02,4.29,2.11,0,0.037096515,0.445158182
8,-1.5,9,-3.316117765,-3.144387035,-3.207318636,-3.338744651,0.01,2.5,0.97,0,0.014047028,0.168564336
8,-1.5,9,-3.091635457,-2.754289656,-3.02597483,-3.425827532,0,3.37,1.03,0,0.025212068,0.226908613
8,-1.5,9,-3.753116598,-4.07348312,-4.430296433,-3.509772002,0,3.05,1.57,0,0.014535512,0.087213072
8,-1.5,9,-1.69450812,-1.481127961,-1.513358599,-2.00132664,0,3.57,1.64,0,0.112139717,0.560698583
8,-1.5,9,-2.875667247,-4.750173346,-6.436576778,-3.799744019,0,1.5,0.87,0,0.341712443,0.453140413
8,-1.5,9,-1.427401144,-1.457028926,-1.331585945,-1.598670815,0.02,3.17,1.3,0,0.146314103,0.794276557
8,-1.5,9,-2.585613052,-2.077258269,-2.216071875,-2.65592101,0,2.25,1.08,0,0.090274221,0.451371105
8,-1.5,9,-2.146402691,-2.194564031,-1.822747442,-2.435260568,0.02,2.07,1.42,0,0.339301973,0.560585869
8,-1.5,9,-2.004061963,-1.813557561,-1.719306686,-2.218321438,0,2.66,1.17,0,0.170370833,0.588553787
8,-1.5,9,-3.096777107,-2.458056937,-2.825201089,-3.183168499,0,2.71,0.9,0,0.057671629,0.311426795
8,-1.5,9,-7.944329214,-4.910449919,-5.054300094,-8.572953385,0,2.91,1.39,0,0.079074159,0.359427994
8,-1.5,9,-1.662241051,-1.439648866,-1.57136019,-1.917103614,0.01,3.56,1.55,0,0.039118398,0.378144511
8,-1.5,9,-4.161587458,-3.047096286,-3.956747543,-4.117610308,0,2.08,0.88,0,0.148704303,0.202778595
8,-1.5,9,-1.321501814,-1.414454969,-1.270988266,-1.489299681,0,2.25,1.3,0,0.181522499,0.599024246
8,-1.5,9,-1.126541614,-1.106836881,-1.099532745,-1.143034177,0,9.22,1.69,0,0.076551863,0.727242696
8,-1.5,9,-1.284967885,-1.571375063,-1.318531547,-1.442238055,0.02,1.29,1.16,0,0.335288118,1.031655747
8,-1.5,9,-5.154802323,-3.294612498,-2.662399623,-5.625787233,0.02,3.18,1.7,0,0.397771509,0.638091796
8,-1.5,9,-1.414166895,-1.40000754,-1.324765273,-1.466578509,0.02,1.63,1.57,0,0.19681538,0.759145037
8,-1.5,9,-1.742766309,-1.61040649,-1.703166617,-1.926211676,0,3.34,2.74,0,0.013759435,0.233910387
8,-1.5,9,-1.197515524,-1.130581777,-1.173220029,-1.226594323,0,4.22,1.32,0,0.03366082,0.437590656
8,-1.5,9,-1.294917034,-1.431340702,-1.255971612,-1.398318681,0,1.48,1.22,0,0.250106989,0.889269293
8,-1.5,9,-1.425214584,-1.311847863,-1.34863157,-1.472919205,0.02,3.08,1.11,0,0.079616331,0.557314317
8,-1.5,9,-1.967945591,-1.830652688,-1.995988238,-2.147117875,0,3.48,2.17,0,0.01251175,0.050047001
8,-1.5,9,-2.395207901,-2.976625258,-7.386874108,-3.111147522,0.02,1.77,1.89,0,0.506975859,0.092177429
8,-1.5,9,-3.172439691,-2.946441956,-2.158066189,-3.77224443,0.01,2.54,2.17,0,0.565649557,0.748117156
8,-1.5,9,-2.500618724,-2.454039193,-1.885696233,-2.890603787,0,2.12,1.82,0,0.40563078,0.74365643
8,-1.5,9,-1.336122193,-1.224661238,-1.277865373,-1.305429211,0.02,3.05,1.14,0,0.068764845,0.515736335
8,-1.5,9,-2.964508294,-2.513864502,-2.102576472,-3.183972462,0,2.36,1.64,0,0.35052792,0.658992489
8,-1.5,9,-2.378959947,-2.582763367,-1.827759171,-2.867876474,0,2.05,1.88,0,0.480523594,0.797464687
8,-1.5,9,-1.783338611,-1.588861595,-1.606372889,-1.795152809,0.01,2.2,0.85,0,0.163267185,0.559773204
8,-1.5,9,-2.297788047,-2.401215678,-1.820129658,-2.659360254,0,2.01,1.44,0,0.436887331,0.714906542
8,-1.5,9,-2.128867247,-1.957817593,-2.206548584,-2.328484676,0,3.53,1.49,0,0.016868831,0.134950645
8,-1.5,9,-1.95176992,-1.686544696,-1.698464454,-1.902920846,0,2.34,0.83,0,0.187000811,0.584377535
8,-1.5,9,-2.244832659,-1.886931267,-1.922203233,-2.280293057,0,2.35,1.01,0,0.13132819,0.525312758
8,-1.5,9,-1.733706628,-1.779137999,-1.532318702,-1.941526046,0,2.55,1.32,0,0.27328411,0.787701257
8,-1.5,9,-2.66932215,-2.331368564,-1.987112757,-2.882423809,0.02,1.98,1.31,0,0.308280316,0.672611598
8,-1.5,9,-1.435310541,-1.433148162,-1.360586909,-1.604876661,0.02,3.04,2.33,0,0.175737193,0.814781531
8,-1.5,9,-2.391469034,-2.285371652,-1.855264741,-2.601852067,0,1.98,1.48,0,0.352159868,0.704319737
8,-1.5,9,-1.348518059,-1.284667443,-1.282221796,-1.436227111,0,16.19,1.18,0,0.055463309,0.721023013
8,-1.5,9,-4.251511139,-3.025999658,-2.493098899,-4.712060924,0.01,3,1.57,0,0.410054339,0.630083496
8,-1.5,9,-5.768858717,-3.409775014,-2.962932953,-6.283565761,0.02,3.28,2,0,0.370778463,0.569101827
8,-1.5,9,-1.9357486,-1.704287569,-2.02901162,-1.923319353,0.02,2.31,1.19,0,0.202500074,0.112500041
8,-1.5,9,-1.192528668,-1.137056419,-1.165187819,-1.188050502,0.02,3.66,0.94,0,0.037537806,0.450453667
8,-1.5,9,-9.882722753,-9.956716373,-10.57383749,-9.915486769,0,1.82,0.67,0,0.014454756,0.151774938
8,-1.5,9,-20,-5.54412964,-5.065861393,-17.19561613,0,2.81,1.29,0,0.275643775,0.457165285
8,-1.5,9,-8.550550355,-4.597191797,-5.004298865,-8.801061123,0,5,1.44,0,0.122873586,0.399339156
8,-1.5,9,-2.11338154,-2.207072839,-1.743947597,-2.471555153,0,2.17,1.41,0,0.331533254,0.663066509
8,-1.5,9,-1.181881765,-1.129583408,-1.151610549,-1.181775273,0,3.67,1.24,0,0.037605165,0.526472309
8,-1.5,9,-2.601147338,-2.820536263,-1.968800208,-3.219124937,0.03,1.52,1.62,0,0.553820583,0.697050045
8,-1.5,9,-3.437791626,-2.551304093,-2.432339282,-3.653959794,0.01,3.2,0.86,0,0.189775409,0.558162968
8,-1.5,9,-2.119866742,-1.874646511,-2.022247916,-2.063222934,0,2.44,0.68,0,0.038097825,0.304782602
8,-1.5,9,-2.838519714,-2.351660243,-2.073717124,-2.970219724,0.01,2.24,1.42,0,0.284886473,0.64474307
8,-1.5,9,-2.152605418,-1.898193152,-2.043341711,-2.490511262,0.02,4.72,1.23,0,0.028727736,0.316005098
8,-1.5,9,-1.591703052,-1.435739651,-1.601552392,-1.782901647,0.03,2.75,2.45,0,0.108313146,0.04641992
8,-1.5,9,-5.572327458,-4.439273928,-4.713894744,-6.123952353,0,3.36,0.89,0,0.034369576,0.249179428
8,-1.5,9,-2.040117746,-2.306613352,-1.839238678,-2.331437863,0.01,1.68,1.42,0,0.369736445,0.774685885
8,-1.5,9,-4.8166459,-3.363597202,-2.548845233,-5.426103048,0,3,1.92,0,0.485043334,0.66590695
8,-1.5,9,-1.80561365,-1.996173507,-1.585309499,-2.069465948,0,2.51,1.14,0,0.351736994,0.831378348
8,-1.5,9,-1.833526026,-1.850689351,-1.903160588,-1.853292628,0.02,1.93,0.58,0,0.048327714,0.241638569
8,-1.5,9,-1.79930734,-1.668974993,-1.770582507,-1.974250293,0,3.23,1.15,0,0.014066747,0.2110012
8,-1.5,9,-2.077154081,-2.365966733,-1.76674099,-2.47936749,0,2.06,1.55,0,0.441437037,0.835151151
8,-1.5,9,-2.990473216,-2.379542935,-2.227292623,-3.243817696,0,2.78,1.16,0,0.197878932,0.571650247
8,-1.5,9,-1.422448202,-2.277865375,-1.509416271,-1.8235617,0,1.35,3.99,0,0.635081123,1.090682798
8,-1.5,9,-4.742934273,-4.115557215,-4.277049229,-4.53804613,0,2.06,0.41,0,0.036917193,0.258420353
