grilla,L,alfa,MV,alfa.GA,alfa.LN,alfa.LC
1.00E-04,8,-3,-2.431233887,-3.33691682,-1.550412314,-1.969881825
0.0101,8,-3,-2.606574181,-3.294395347,-2.738829638,-2.824765575
0.0201,8,-3,-2.751778244,-3.231282963,-3.017296152,-3.068907028
0.0301,8,-3,-2.87783343,-3.177315289,-3.107544267,-3.239394712
0.0401,8,-3,-2.990223748,-3.131571376,-3.135442835,-3.375126968
0.0501,8,-3,-3.092203802,-3.116951146,-3.098372505,-3.489838982
0.0601,8,-3,-3.185857906,-3.081980496,-3.00187038,-3.590127312
0.0701,8,-3,-3.2726293,-3.073006199,-2.959821511,-3.679751384
0.0801,8,-3,-3.353570839,-3.065874117,-2.872630452,-3.761074037
0.0901,8,-3,-3.429475174,-3.041605312,-2.797917994,-3.835690036
0.1001,8,-3,-3.500958052,-3.038233259,-2.73678731,-3.904683081
0.1101,8,-3,-3.56850947,-3.036114968,-2.688247976,-3.968991975
0.1201,8,-3,-3.632527253,-3.035134495,-2.684825636,-4.029207378
0.1301,8,-3,-3.693339907,-3.035191875,-2.653221317,-4.085822431
0.1401,8,-3,-3.751222671,-3.052365211,-2.660780112,-4.13924731
0.1501,8,-3,-3.806409086,-3.053926021,-2.67197987,-4.189812029
0.1601,8,-3,-3.859099515,-3.056359105,-2.686044861,-4.237788582
0.1701,8,-3,-3.909467555,-3.059596738,-2.702291475,-4.283405286
0.1801,8,-3,-3.95766681,-3.063585058,-2.720141442,-4.326853767
0.1901,8,-3,-4.003826998,-3.084285272,-2.739122387,-4.368302995
0.2001,8,-3,-4.048068777,-3.089537729,-2.758861748,-4.407897557
0.2101,8,-3,-4.090498145,-3.091818326,-2.77355084,-4.445763815
0.2201,8,-3,-4.131210288,-3.110469637,-2.786719516,-4.482032653
0.2301,8,-3,-4.170270376,-3.112806526,-2.79978005,-4.516766762
0.2401,8,-3,-4.207810417,-3.115650064,-2.812624235,-4.550070372
0.2501,8,-3,-4.243877128,-3.118951901,-2.825180743,-4.582022472
0.2601,8,-3,-4.278496313,-3.122666945,-2.877374475,-4.612694341
0.2701,8,-3,-4.311766881,-3.145228022,-2.889738266,-4.642150613
0.2801,8,-3,-4.343737932,-3.149854244,-2.901696797,-4.670450167
0.2901,8,-3,-4.374469405,-3.154804475,-2.913244269,-4.697645238
0.3001,8,-3,-4.403968596,-3.160042908,-2.924380667,-4.723787294
0.3101,8,-3,-4.432320995,-3.165526948,-2.93510987,-4.748926068
0.3201,8,-3,-4.45959018,-3.171251203,-2.945438356,-4.773093981
0.3301,8,-3,-4.485761692,-3.177161057,-2.955374308,-4.79633604
0.3401,8,-3,-4.510894073,-3.183238045,-3.009441414,-4.818688444
0.3501,8,-3,-4.535022188,-3.211756752,-3.018965751,-4.840185034
0.3601,8,-3,-4.558179015,-3.218474596,-3.028111225,-4.860857513
0.3701,8,-3,-4.580395818,-3.225296453,-3.036889071,-4.880735644
0.3801,8,-3,-4.601702305,-3.23220019,-3.045310443,-4.899847427
0.3901,8,-3,-4.622126758,-3.23916521,-3.053386337,-4.918219259
0.4001,8,-3,-4.641696155,-3.246172342,-3.061127398,-4.935876071
0.4101,8,-3,-4.660436273,-3.253203749,-3.068544507,-4.952841456
0.4201,8,-3,-4.678371791,-3.260242831,-3.075647734,-4.969137781
0.4301,8,-3,-4.695526367,-3.267274145,-3.082447043,-4.984786285
0.4401,8,-3,-4.711922718,-3.274283329,-3.088952117,-4.999807168
0.4501,8,-3,-4.727582688,-3.281257033,-3.095172348,-5.014219676
0.4601,8,-3,-4.742527308,-3.288182857,-3.101116852,-5.028042165
0.4701,8,-3,-4.756776855,-3.29504929,-3.106794465,-5.041292174
0.4801,8,-3,-4.770350896,-3.301845655,-3.11221376,-5.053986477
0.4901,8,-3,-4.783268342,-3.308562065,-3.117383047,-5.066139296
0.5001,8,-3,-4.795547479,-3.315189372,-3.122310385,-5.077763238
0.5101,8,-3,-4.807206012,-3.321719128,-3.127003589,-5.088878758
0.5201,8,-3,-4.818261098,-3.328143545,-3.131470235,-5.099499888
0.5301,8,-3,-4.828729373,-3.334455457,-3.135718382,-5.109640151
0.5401,8,-3,-4.838626984,-3.340648289,-3.139754017,-5.119362587
0.5501,8,-3,-4.847969611,-3.346716026,-3.143584561,-5.128579779
0.5601,8,-3,-4.856772495,-3.352653179,-3.147216732,-5.137353875
0.5701,8,-3,-4.865050454,-3.358454763,-3.150657048,-5.145696612
0.5801,8,-3,-4.872817906,-3.364116268,-3.15391183,-5.153619334
0.5901,8,-3,-4.880088886,-3.369633639,-3.156987213,-5.161133017
